73.27	43.76
71.92	43.55
70.58	43.32
76.00	44.14
71.92	43.55
67.93	42.82
69.25	43.08
71.92	43.55
73.27	43.76
74.63	43.96
71.92	43.55
76.00	44.14
71.92	43.55
74.63	43.96
73.27	43.76
73.27	43.76
74.63	43.96
73.27	43.76
71.92	43.55
71.92	43.55
71.92	43.55
73.27	43.76
70.58	43.32
71.92	43.55
71.92	43.55
70.58	43.32
74.63	43.96
73.27	43.76
74.63	43.96
76.00	44.14
76.00	44.14
70.58	43.32
74.63	43.96
71.92	43.55
70.58	43.32
67.93	42.82
73.27	43.76
70.58	43.32
73.27	43.76
74.63	43.96
74.63	43.96
74.63	43.96
73.27	43.76
76.00	44.14
71.92	43.55
77.37	44.30
70.58	43.32
73.27	43.76
77.37	44.30
76.00	44.14
77.58	27.44
76.46	27.34
76.46	27.34
79.83	27.63
77.58	27.44
74.23	27.10
74.23	27.10
77.58	27.44
77.58	27.44
78.71	27.54
77.58	27.44
79.83	27.63
77.58	27.44
78.71	27.54
77.58	27.44
77.58	27.44
79.83	27.63
77.58	27.44
76.46	27.34
77.58	27.44
76.46	27.34
77.58	27.44
76.46	27.34
76.46	27.34
76.46	27.34
76.46	27.34
78.71	27.54
77.58	27.44
78.71	27.54
79.83	27.63
79.83	27.63
75.35	27.22
78.71	27.54
77.58	27.44
76.46	27.34
73.12	26.97
77.58	27.44
75.35	27.22
78.71	27.54
78.71	27.54
78.71	27.54
78.71	27.54
78.71	27.54
79.83	27.63
76.46	27.34
80.96	27.70
76.46	27.34
77.58	27.44
80.96	27.70
79.83	27.63
79.90	7.88
78.89	7.85
77.89	7.82
81.92	7.92
78.89	7.85
76.88	7.79
76.88	7.79
78.89	7.85
79.90	7.88
79.90	7.88
78.89	7.85
80.91	7.90
78.89	7.85
80.91	7.90
79.90	7.88
79.90	7.88
80.91	7.90
79.90	7.88
78.89	7.85
78.89	7.85
78.89	7.85
79.90	7.88
77.89	7.82
78.89	7.85
78.89	7.85
77.89	7.82
80.91	7.90
79.90	7.88
80.91	7.90
80.91	7.90
80.91	7.90
77.89	7.82
80.91	7.90
78.89	7.85
77.89	7.82
75.87	7.76
79.90	7.88
77.89	7.82
79.90	7.88
79.90	7.88
80.91	7.90
80.91	7.90
79.90	7.88
81.92	7.92
78.89	7.85
82.93	7.94
78.89	7.85
79.90	7.88
81.92	7.92
81.92	7.92
80.38	33.62
79.18	33.53
79.18	33.53
82.77	33.79
80.38	33.62
76.80	33.29
77.99	33.41
80.38	33.62
80.38	33.62
81.58	33.71
80.38	33.62
81.58	33.71
80.38	33.62
81.58	33.71
80.38	33.62
80.38	33.62
81.58	33.71
80.38	33.62
80.38	33.62
80.38	33.62
79.18	33.53
80.38	33.62
79.18	33.53
79.18	33.53
79.18	33.53
79.18	33.53
81.58	33.71
80.38	33.62
81.58	33.71
81.58	33.71
82.77	33.79
79.18	33.53
81.58	33.71
80.38	33.62
79.18	33.53
76.80	33.29
80.38	33.62
79.18	33.53
81.58	33.71
81.58	33.71
81.58	33.71
81.58	33.71
80.38	33.62
82.77	33.79
80.38	33.62
83.98	33.85
79.18	33.53
80.38	33.62
82.77	33.79
82.77	33.79
54.50	8.99
52.49	8.77
51.48	8.65
57.52	9.31
53.49	8.88
48.47	8.28
49.48	8.40
53.49	8.88
54.50	8.99
55.51	9.10
53.49	8.88
57.52	9.31
53.49	8.88
56.51	9.21
54.50	8.99
54.50	8.99
56.51	9.21
54.50	8.99
53.49	8.88
53.49	8.88
52.49	8.77
53.49	8.88
