  .000000E+00  .000000E+00  .000000E+00  .000000E+00
  .500000E-01  .200340E-20  .162267E-20  .659735E-21
  .100000E+00  .259916E-19  .210532E-19  .856134E-20
  .150000E+00  .171557E-18  .138970E-18  .565261E-19
  .200000E+00  .776078E-18  .628715E-18  .255803E-18
  .250000E+00  .272897E-17  .221101E-17  .899898E-18
  .300000E+00  .800194E-17  .648394E-17  .264011E-17
  .350000E+00  .204535E-16  .165757E-16  .675249E-17
  .400000E+00  .469646E-16  .380669E-16  .155156E-16
  .450000E+00  .989604E-16  .802268E-16  .327180E-16
  .500000E+00  .194373E-15  .157609E-15  .643136E-16
  .550000E+00  .360096E-15  .292048E-15  .119244E-15
  .600000E+00  .634986E-15  .515104E-15  .210442E-15
  .650000E+00  .107346E-14  .870989E-15  .356041E-15
  .700000E+00  .174972E-14  .142002E-14  .580798E-15
  .750000E+00  .276271E-14  .224265E-14  .917751E-15
  .800000E+00  .424177E-14  .344405E-14  .141012E-14
  .850000E+00  .635313E-14  .515944E-14  .211349E-14
  .900000E+00  .930715E-14  .755997E-14  .309827E-14
  .950000E+00  .133665E-13  .108594E-13  .445243E-14
  .100000E+01  .188554E-13  .153215E-13  .628463E-14
  .105000E+01  .261694E-13  .212680E-13  .872763E-14
  .110000E+01  .357868E-13  .290881E-13  .119421E-13
  .115000E+01  .482805E-13  .392475E-13  .161207E-13
  .120000E+01  .643319E-13  .522998E-13  .214928E-13
  .125000E+01  .847445E-13  .688979E-13  .283294E-13
  .130000E+01  .110460E-12  .898063E-13  .369484E-13
  .135000E+01  .142577E-12  .115915E-12  .477204E-13
  .140000E+01  .182365E-12  .148255E-12  .610750E-13
  .145000E+01  .231289E-12  .188011E-12  .775074E-13
  .150000E+01  .291029E-12  .236543E-12  .975853E-13
  .155000E+01  .363502E-12  .295399E-12  .121957E-12
  .160000E+01  .450888E-12  .366338E-12  .151357E-12
  .165000E+01  .555656E-12  .451346E-12  .186617E-12
  .170000E+01  .680590E-12  .552662E-12  .228674E-12
  .175000E+01  .828824E-12  .672795E-12  .278578E-12
  .180000E+01  .100387E-11  .814554E-12  .337503E-12
  .185000E+01  .120964E-11  .981067E-12  .406756E-12
