  .515000E+01 -.830434E-10  .968121E-10 -.128118E-09
  .520000E+01 -.878395E-10  .103792E-09 -.136248E-09
  .525000E+01 -.928423E-10  .111210E-09 -.144798E-09
  .530000E+01 -.980569E-10  .119088E-09 -.153784E-09
  .535000E+01 -.103488E-09  .127453E-09 -.163224E-09
  .540000E+01 -.109141E-09  .136330E-09 -.173134E-09
  .545000E+01 -.115021E-09  .145746E-09 -.183532E-09
  .550000E+01 -.121131E-09  .155730E-09 -.194437E-09
  .555000E+01 -.127477E-09  .166311E-09 -.205867E-09
  .560000E+01 -.134062E-09  .177522E-09 -.217841E-09
  .565000E+01 -.140892E-09  .189394E-09 -.230379E-09
  .570000E+01 -.147969E-09  .201962E-09 -.243499E-09
  .575000E+01 -.155298E-09  .215261E-09 -.257223E-09
  .580000E+01 -.162882E-09  .229329E-09 -.271572E-09
  .585000E+01 -.170724E-09  .244205E-09 -.286565E-09
  .590000E+01 -.178827E-09  .259930E-09 -.302226E-09
  .595000E+01 -.187194E-09  .276545E-09 -.318575E-09
  .600000E+01 -.195826E-09  .294096E-09 -.335634E-09
  .605000E+01 -.204726E-09  .312628E-09 -.353428E-09
  .610000E+01 -.213895E-09  .332190E-09 -.371977E-09
  .615000E+01 -.223333E-09  .352832E-09 -.391307E-09
  .620000E+01 -.233041E-09  .374607E-09 -.411441E-09
  .625000E+01 -.243019E-09  .397570E-09 -.432402E-09
  .630000E+01 -.253265E-09  .421776E-09 -.454215E-09
  .635000E+01 -.263779E-09  .447287E-09 -.476906E-09
  .640000E+01 -.274559E-09  .474163E-09 -.500498E-09
  .645000E+01 -.285601E-09  .502469E-09 -.525018E-09
  .650000E+01 -.296902E-09  .532272E-09 -.550490E-09
  .655000E+01 -.308457E-09  .563641E-09 -.576942E-09
  .660000E+01 -.320263E-09  .596650E-09 -.604398E-09
  .665000E+01 -.332312E-09  .631373E-09 -.632886E-09
  .670000E+01 -.344597E-09  .667888E-09 -.662431E-09
  .675000E+01 -.357112E-09  .706278E-09 -.693060E-09
  .680000E+01 -.369847E-09  .746625E-09 -.724801E-09
  .685000E+01 -.382791E-09  .789019E-09 -.757680E-09
  .690000E+01 -.395936E-09  .833551E-09 -.791724E-09
  .695000E+01 -.409267E-09  .880314E-09 -.826959E-09
  .700000E+01 -.422773E-09  .929407E-09 -.863414E-09
  .705000E+01 -.436439E-09  .980932E-09 -.901115E-09
  .710000E+01 -.450248E-09  .103499E-08 -.940090E-09
  .715000E+01 -.464186E-09  .109170E-08 -.980364E-09
  .720000E+01 -.478232E-09  .115117E-08 -.102197E-08
  .725000E+01 -.492368E-09  .121352E-08 -.106492E-08
