  .515000E+01 -.102227E-10  .235589E-11 -.184638E-10
  .520000E+01 -.109120E-10  .249072E-11 -.197163E-10
  .525000E+01 -.116402E-10  .263166E-11 -.210401E-10
  .530000E+01 -.124090E-10  .277899E-11 -.224385E-10
  .535000E+01 -.132202E-10  .293298E-11 -.239150E-10
  .540000E+01 -.140757E-10  .309396E-11 -.254730E-10
  .545000E+01 -.149774E-10  .326226E-11 -.271162E-10
  .550000E+01 -.159273E-10  .343826E-11 -.288483E-10
  .555000E+01 -.169274E-10  .362236E-11 -.306734E-10
  .560000E+01 -.179800E-10  .381498E-11 -.325954E-10
  .565000E+01 -.190873E-10  .401661E-11 -.346184E-10
  .570000E+01 -.202514E-10  .422774E-11 -.367470E-10
  .575000E+01 -.214749E-10  .444893E-11 -.389854E-10
  .580000E+01 -.227601E-10  .468077E-11 -.413383E-10
  .585000E+01 -.241095E-10  .492390E-11 -.438106E-10
  .590000E+01 -.255257E-10  .517899E-11 -.464070E-10
  .595000E+01 -.270115E-10  .544678E-11 -.491327E-10
  .600000E+01 -.285695E-10  .572804E-11 -.519930E-10
  .605000E+01 -.302027E-10  .602362E-11 -.549932E-10
  .610000E+01 -.319140E-10  .633440E-11 -.581389E-10
  .615000E+01 -.337065E-10  .666133E-11 -.614359E-10
  .620000E+01 -.355833E-10  .700540E-11 -.648901E-10
  .625000E+01 -.375476E-10  .736768E-11 -.685077E-10
  .630000E+01 -.396028E-10  .774928E-11 -.722949E-10
  .635000E+01 -.417524E-10  .815138E-11 -.762581E-10
  .640000E+01 -.439999E-10  .857523E-11 -.804042E-10
  .645000E+01 -.463490E-10  .902212E-11 -.847400E-10
  .650000E+01 -.488037E-10  .949342E-11 -.892724E-10
  .655000E+01 -.513677E-10  .999056E-11 -.940089E-10
  .660000E+01 -.540452E-10  .105150E-10 -.989568E-10
  .665000E+01 -.568403E-10  .110683E-10 -.104124E-09
  .670000E+01 -.597574E-10  .116521E-10 -.109518E-09
  .675000E+01 -.628010E-10  .122680E-10 -.115147E-09
  .680000E+01 -.659757E-10  .129177E-10 -.121020E-09
  .685000E+01 -.692863E-10  .136030E-10 -.127145E-09
  .690000E+01 -.727376E-10  .143257E-10 -.133530E-09
  .695000E+01 -.763347E-10  .150876E-10 -.140186E-09
  .700000E+01 -.800829E-10  .158906E-10 -.147120E-09
  .705000E+01 -.839875E-10  .167367E-10 -.154343E-09
  .710000E+01 -.880541E-10  .176278E-10 -.161864E-09
  .715000E+01 -.922884E-10  .185658E-10 -.169694E-09
  .720000E+01 -.966963E-10  .195527E-10 -.177842E-09
  .725000E+01 -.101284E-09  .205906E-10 -.186318E-09
  .730000E+01 -.106057E-09  .216815E-10 -.195135E-09
  .735000E+01 -.111023E-09  .228273E-10 -.204302E-09
  .740000E+01 -.116188E-09  .240301E-10 -.213831E-09
  .745000E+01 -.121558E-09  .252918E-10 -.223733E-09
  .750000E+01 -.127141E-09  .266145E-10 -.234020E-09
  .755000E+01 -.132944E-09  .280002E-10 -.244705E-09
  .760000E+01 -.138975E-09  .294507E-10 -.255798E-09
  .765000E+01 -.145240E-09  .309680E-10 -.267314E-09
  .770000E+01 -.151747E-09  .325538E-10 -.279265E-09
  .775000E+01 -.158506E-09  .342102E-10 -.291663E-09
  .780000E+01 -.165523E-09  .359387E-10 -.304523E-09
  .785000E+01 -.172808E-09  .377412E-10 -.317858E-09
  .790000E+01 -.180368E-09  .396194E-10 -.331682E-09
  .795000E+01 -.188213E-09  .415747E-10 -.346008E-09
  .800000E+01 -.196353E-09  .436088E-10 -.360853E-09
  .805000E+01 -.204795E-09  .457231E-10 -.376230E-09
  .810000E+01 -.213550E-09  .479189E-10 -.392155E-09
  .815000E+01 -.222627E-09  .501976E-10 -.408642E-09
  .820000E+01 -.232037E-09  .525603E-10 -.425709E-09
  .825000E+01 -.241789E-09  .550081E-10 -.443370E-09
  .830000E+01 -.251893E-09  .575421E-10 -.461643E-09
  .835000E+01 -.262362E-09  .601632E-10 -.480543E-09
  .840000E+01 -.273204E-09  .628722E-10 -.500088E-09
  .845000E+01 -.284431E-09  .656697E-10 -.520294E-09
  .850000E+01 -.296055E-09  .685565E-10 -.541181E-09
  .855000E+01 -.308087E-09  .715331E-10 -.562764E-09
  .860000E+01 -.320538E-09  .745999E-10 -.585064E-09
  .865000E+01 -.333421E-09  .777573E-10 -.608097E-09
  .870000E+01 -.346746E-09  .810056E-10 -.631884E-09
  .875000E+01 -.360527E-09  .843450E-10 -.656442E-09
  .880000E+01 -.374775E-09  .877757E-10 -.681793E-09
  .885000E+01 -.389504E-09  .912976E-10 -.707955E-09
  .890000E+01 -.404726E-09  .949110E-10 -.734950E-09
  .895000E+01 -.420454E-09  .986157E-10 -.762797E-09
  .900000E+01 -.436700E-09  .102412E-09 -.791517E-09
  .905000E+01 -.453479E-09  .106299E-09 -.821133E-09
  .910000E+01 -.470803E-09  .110277E-09 -.851665E-09
  .915000E+01 -.488686E-09  .114347E-09 -.883136E-09
  .920000E+01 -.507142E-09  .118507E-09 -.915569E-09
  .925000E+01 -.526185E-09  .122758E-09 -.948986E-09
  .930000E+01 -.545828E-09  .127099E-09 -.983411E-09
  .935000E+01 -.566085E-09  .131531E-09 -.101887E-08
  .940000E+01 -.586971E-09  .136054E-09 -.105538E-08
  .945000E+01 -.608499E-09  .140667E-09 -.109297E-08
  .950000E+01 -.630685E-09  .145370E-09 -.113167E-08
  .955000E+01 -.653542E-09  .150163E-09 -.117149E-08
  .960000E+01 -.677086E-09  .155047E-09 -.121248E-08
  .965000E+01 -.701331E-09  .160021E-09 -.125464E-08
  .970000E+01 -.726292E-09  .165086E-09 -.129802E-08
  .975000E+01 -.751984E-09  .170242E-09 -.134263E-08
  .980000E+01 -.778422E-09  .175489E-09 -.138851E-08
  .985000E+01 -.805622E-09  .180828E-09 -.143568E-08
  .990000E+01 -.833598E-09  .186259E-09 -.148417E-08
  .995000E+01 -.862365E-09  .191783E-09 -.153401E-08
  .100000E+02 -.891941E-09  .197401E-09 -.158523E-08
  .100500E+02 -.922339E-09  .203113E-09 -.163786E-08
  .101000E+02 -.953577E-09  .208921E-09 -.169194E-08
  .101500E+02 -.985669E-09  .214826E-09 -.174748E-08
  .102000E+02 -.101863E-08  .220829E-09 -.180453E-08
  .102500E+02 -.105248E-08  .226932E-09 -.186311E-08
  .103000E+02 -.108723E-08  .233136E-09 -.192326E-08
  .103500E+02 -.112291E-08  .239444E-09 -.198501E-08
  .104000E+02 -.115952E-08  .245857E-09 -.204840E-08
  .104500E+02 -.119708E-08  .252376E-09 -.211345E-08
  .105000E+02 -.123561E-08  .259006E-09 -.218021E-08
  .105500E+02 -.127513E-08  .265748E-09 -.224871E-08
  .106000E+02 -.131565E-08  .272604E-09 -.231899E-08
  .106500E+02 -.135720E-08  .279577E-09 -.239108E-08
  .107000E+02 -.139978E-08  .286670E-09 -.246502E-08
  .107500E+02 -.144343E-08  .293886E-09 -.254084E-08
  .108000E+02 -.148815E-08  .301227E-09 -.261859E-08
  .108500E+02 -.153396E-08  .308698E-09 -.269830E-08
  .109000E+02 -.158089E-08  .316300E-09 -.278002E-08
  .109500E+02 -.162896E-08  .324038E-09 -.286378E-08
  .110000E+02 -.167818E-08  .331914E-09 -.294962E-08
  .110500E+02 -.172857E-08  .339932E-09 -.303759E-08
  .111000E+02 -.178016E-08  .348096E-09 -.312772E-08
  .111500E+02 -.183296E-08  .356408E-09 -.322007E-08
  .112000E+02 -.188700E-08  .364873E-09 -.331466E-08
  .112500E+02 -.194231E-08  .373494E-09 -.341155E-08
  .113000E+02 -.199889E-08  .382274E-09 -.351077E-08
  .113500E+02 -.205678E-08  .391217E-09 -.361238E-08
  .114000E+02 -.211599E-08  .400326E-09 -.371642E-08
  .114500E+02 -.217656E-08  .409605E-09 -.382293E-08
  .115000E+02 -.223850E-08  .419057E-09 -.393195E-08
  .115500E+02 -.230185E-08  .428685E-09 -.404355E-08
  .116000E+02 -.236663E-08  .438493E-09 -.415775E-08
  .116500E+02 -.243286E-08  .448483E-09 -.427462E-08
  .117000E+02 -.250057E-08  .458659E-09 -.439419E-08
  .117500E+02 -.256979E-08  .469023E-09 -.451652E-08
  .118000E+02 -.264054E-08  .479577E-09 -.464166E-08
