  .515000E+01 -.390699E-09  .263151E-09 -.704043E-09
  .520000E+01 -.415150E-09  .279611E-09 -.751640E-09
  .525000E+01 -.440843E-09  .296891E-09 -.801944E-09
  .530000E+01 -.467824E-09  .315021E-09 -.855081E-09
  .535000E+01 -.496144E-09  .334028E-09 -.911180E-09
  .540000E+01 -.525851E-09  .353945E-09 -.970375E-09
  .545000E+01 -.556998E-09  .374801E-09 -.103281E-08
  .550000E+01 -.589637E-09  .396626E-09 -.109862E-08
  .555000E+01 -.623821E-09  .419453E-09 -.116796E-08
  .560000E+01 -.659606E-09  .443313E-09 -.124098E-08
  .565000E+01 -.697047E-09  .468238E-09 -.131784E-08
  .570000E+01 -.736201E-09  .494260E-09 -.139871E-08
  .575000E+01 -.777126E-09  .521414E-09 -.148376E-08
  .580000E+01 -.819881E-09  .549731E-09 -.157315E-08
  .585000E+01 -.864528E-09  .579247E-09 -.166708E-08
  .590000E+01 -.911126E-09  .609994E-09 -.176572E-08
  .595000E+01 -.959738E-09  .642008E-09 -.186927E-08
  .600000E+01 -.101043E-08  .675323E-09 -.197794E-08
  .605000E+01 -.106326E-08  .709975E-09 -.209191E-08
  .610000E+01 -.111830E-08  .746000E-09 -.221141E-08
  .615000E+01 -.117561E-08  .783432E-09 -.233666E-08
  .620000E+01 -.123526E-08  .822309E-09 -.246787E-08
  .625000E+01 -.129732E-08  .862666E-09 -.260527E-08
  .630000E+01 -.136185E-08  .904542E-09 -.274911E-08
  .635000E+01 -.142893E-08  .947971E-09 -.289963E-08
  .640000E+01 -.149862E-08  .992993E-09 -.305709E-08
  .645000E+01 -.157101E-08  .103964E-08 -.322173E-08
  .650000E+01 -.164614E-08  .108796E-08 -.339383E-08
  .655000E+01 -.172411E-08  .113799E-08 -.357366E-08
  .660000E+01 -.180499E-08  .118975E-08 -.376150E-08
  .665000E+01 -.188884E-08  .124330E-08 -.395766E-08
  .670000E+01 -.197574E-08  .129867E-08 -.416241E-08
  .675000E+01 -.206577E-08  .135590E-08 -.437608E-08
  .680000E+01 -.215900E-08  .141503E-08 -.459898E-08
  .685000E+01 -.225551E-08  .147609E-08 -.483143E-08
  .690000E+01 -.235537E-08  .153913E-08 -.507377E-08
  .695000E+01 -.245866E-08  .160418E-08 -.532634E-08
  .700000E+01 -.256546E-08  .167129E-08 -.558950E-08
  .705000E+01 -.267584E-08  .174048E-08 -.586360E-08
  .710000E+01 -.278989E-08  .181181E-08 -.614903E-08
  .715000E+01 -.290768E-08  .188530E-08 -.644616E-08
  .720000E+01 -.302928E-08  .196101E-08 -.675539E-08
  .725000E+01 -.315477E-08  .203895E-08 -.707711E-08
  .730000E+01 -.328424E-08  .211918E-08 -.741176E-08
  .735000E+01 -.341776E-08  .220173E-08 -.775974E-08
  .740000E+01 -.355540E-08  .228664E-08 -.812151E-08
  .745000E+01 -.369724E-08  .237394E-08 -.849750E-08
  .750000E+01 -.384336E-08  .246367E-08 -.888818E-08
  .755000E+01 -.399383E-08  .255587E-08 -.929402E-08
  .760000E+01 -.414872E-08  .265058E-08 -.971551E-08
  .765000E+01 -.430811E-08  .274784E-08 -.101531E-07
  .770000E+01 -.447208E-08  .284767E-08 -.106074E-07
  .775000E+01 -.464068E-08  .295012E-08 -.110789E-07
  .780000E+01 -.481400E-08  .305523E-08 -.115681E-07
  .785000E+01 -.499210E-08  .316304E-08 -.120755E-07
  .790000E+01 -.517505E-08  .327357E-08 -.126018E-07
  .795000E+01 -.536292E-08  .338688E-08 -.131475E-07
  .800000E+01 -.555576E-08  .350300E-08 -.137132E-07
  .805000E+01 -.575365E-08  .362197E-08 -.142996E-07
  .810000E+01 -.595664E-08  .374383E-08 -.149072E-07
  .815000E+01 -.616479E-08  .386862E-08 -.155366E-07
  .820000E+01 -.637816E-08  .399639E-08 -.161887E-07
  .825000E+01 -.659680E-08  .412717E-08 -.168639E-07
  .830000E+01 -.682076E-08  .426101E-08 -.175631E-07
  .835000E+01 -.705009E-08  .439796E-08 -.182869E-07
  .840000E+01 -.728484E-08  .453807E-08 -.190360E-07
  .845000E+01 -.752505E-08  .468137E-08 -.198112E-07
  .850000E+01 -.777076E-08  .482792E-08 -.206132E-07
  .855000E+01 -.802201E-08  .497777E-08 -.214429E-07
  .860000E+01 -.827883E-08  .513096E-08 -.223010E-07
  .865000E+01 -.854124E-08  .528756E-08 -.231883E-07
  .870000E+01 -.880928E-08  .544761E-08 -.241057E-07
  .875000E+01 -.908297E-08  .561116E-08 -.250540E-07
  .880000E+01 -.936233E-08  .577828E-08 -.260340E-07
  .885000E+01 -.964737E-08  .594902E-08 -.270468E-07
  .890000E+01 -.993809E-08  .612343E-08 -.280931E-07
  .895000E+01 -.102345E-07  .630158E-08 -.291739E-07
  .900000E+01 -.105366E-07  .648352E-08 -.302902E-07
  .905000E+01 -.108445E-07  .666932E-08 -.314429E-07
  .910000E+01 -.111580E-07  .685903E-08 -.326330E-07
  .915000E+01 -.114771E-07  .705273E-08 -.338616E-07
  .920000E+01 -.118020E-07  .725046E-08 -.351296E-07
  .925000E+01 -.121324E-07  .745230E-08 -.364381E-07
  .930000E+01 -.124685E-07  .765831E-08 -.377882E-07
  .935000E+01 -.128101E-07  .786855E-08 -.391810E-07
  .940000E+01 -.131572E-07  .808310E-08 -.406176E-07
  .945000E+01 -.135099E-07  .830201E-08 -.420991E-07
  .950000E+01 -.138679E-07  .852535E-08 -.436267E-07
  .955000E+01 -.142313E-07  .875320E-08 -.452017E-07
  .960000E+01 -.146001E-07  .898562E-08 -.468251E-07
  .965000E+01 -.149740E-07  .922267E-08 -.484983E-07
  .970000E+01 -.153532E-07  .946443E-08 -.502225E-07
  .975000E+01 -.157374E-07  .971095E-08 -.519990E-07
  .980000E+01 -.161265E-07  .996232E-08 -.538291E-07
  .985000E+01 -.165206E-07  .102186E-07 -.557141E-07
  .990000E+01 -.169195E-07  .104798E-07 -.576554E-07
  .995000E+01 -.173230E-07  .107461E-07 -.596544E-07
  .100000E+02 -.177311E-07  .110175E-07 -.617125E-07
  .100500E+02 -.181436E-07  .112940E-07 -.638312E-07
  .101000E+02 -.185605E-07  .115758E-07 -.660118E-07
  .101500E+02 -.189815E-07  .118628E-07 -.682559E-07
  .102000E+02 -.194065E-07  .121552E-07 -.705650E-07
  .102500E+02 -.198354E-07  .124530E-07 -.729407E-07
  .103000E+02 -.202680E-07  .127562E-07 -.753845E-07
  .103500E+02 -.207041E-07  .130649E-07 -.778981E-07
  .104000E+02 -.211437E-07  .133792E-07 -.804830E-07
  .104500E+02 -.215864E-07  .136991E-07 -.831409E-07
  .105000E+02 -.220321E-07  .140246E-07 -.858736E-07
  .105500E+02 -.224805E-07  .143558E-07 -.886827E-07
  .106000E+02 -.229316E-07  .146927E-07 -.915700E-07
  .106500E+02 -.233851E-07  .150354E-07 -.945373E-07
  .107000E+02 -.238406E-07  .153838E-07 -.975863E-07
  .107500E+02 -.242981E-07  .157380E-07 -.100719E-06
  .108000E+02 -.247572E-07  .160980E-07 -.103937E-06
  .108500E+02 -.252178E-07  .164638E-07 -.107243E-06
  .109000E+02 -.256794E-07  .168354E-07 -.110638E-06
  .109500E+02 -.261420E-07  .172127E-07 -.114124E-06
  .110000E+02 -.266051E-07  .175959E-07 -.117704E-06
  .110500E+02 -.270684E-07  .179848E-07 -.121379E-06
  .111000E+02 -.275318E-07  .183795E-07 -.125151E-06
  .111500E+02 -.279948E-07  .187799E-07 -.129023E-06
  .112000E+02 -.284571E-07  .191859E-07 -.132997E-06
  .112500E+02 -.289183E-07  .195975E-07 -.137075E-06
  .113000E+02 -.293782E-07  .200147E-07 -.141259E-06
  .113500E+02 -.298364E-07  .204373E-07 -.145551E-06
  .114000E+02 -.302924E-07  .208654E-07 -.149954E-06
  .114500E+02 -.307459E-07  .212987E-07 -.154470E-06
  .115000E+02 -.311965E-07  .217373E-07 -.159102E-06
  .115500E+02 -.316437E-07  .221809E-07 -.163851E-06
  .116000E+02 -.320872E-07  .226295E-07 -.168721E-06
  .116500E+02 -.325265E-07  .230830E-07 -.173713E-06
  .117000E+02 -.329611E-07  .235412E-07 -.178830E-06
  .117500E+02 -.333906E-07  .240039E-07 -.184076E-06
  .118000E+02 -.338145E-07  .244711E-07 -.189451E-06
  .118500E+02 -.342323E-07  .249425E-07 -.194960E-06
  .119000E+02 -.346435E-07  .254179E-07 -.200605E-06
  .119500E+02 -.350475E-07  .258972E-07 -.206387E-06
  .120000E+02 -.354438E-07  .263801E-07 -.212312E-06
  .120500E+02 -.358319E-07  .268665E-07 -.218380E-06
  .121000E+02 -.362112E-07  .273561E-07 -.224595E-06
  .121500E+02 -.365811E-07  .278487E-07 -.230960E-06
  .122000E+02 -.369409E-07  .283440E-07 -.237477E-06
  .122500E+02 -.372902E-07  .288418E-07 -.244151E-06
  .123000E+02 -.376281E-07  .293418E-07 -.250982E-06
  .123500E+02 -.379541E-07  .298437E-07 -.257976E-06
  .124000E+02 -.382676E-07  .303472E-07 -.265135E-06
  .124500E+02 -.385677E-07  .308521E-07 -.272461E-06
  .125000E+02 -.388537E-07  .313580E-07 -.279959E-06
  .125500E+02 -.391251E-07  .318645E-07 -.287631E-06
  .126000E+02 -.393809E-07  .323715E-07 -.295481E-06
  .126500E+02 -.396204E-07  .328784E-07 -.303511E-06
  .127000E+02 -.398428E-07  .333850E-07 -.311726E-06
  .127500E+02 -.400473E-07  .338909E-07 -.320129E-06
  .128000E+02 -.402330E-07  .343957E-07 -.328723E-06
  .128500E+02 -.403991E-07  .348991E-07 -.337512E-06
  .129000E+02 -.405447E-07  .354006E-07 -.346499E-06
  .129500E+02 -.406689E-07  .358998E-07 -.355688E-06
  .130000E+02 -.407707E-07  .363964E-07 -.365082E-06
  .130500E+02 -.408491E-07  .368898E-07 -.374686E-06
  .131000E+02 -.409033E-07  .373798E-07 -.384502E-06
  .131500E+02 -.409321E-07  .378657E-07 -.394534E-06
  .132000E+02 -.409346E-07  .383473E-07 -.404787E-06
  .132500E+02 -.409097E-07  .388240E-07 -.415264E-06
  .133000E+02 -.408562E-07  .392953E-07 -.425969E-06
  .133500E+02 -.407732E-07  .397607E-07 -.436906E-06
  .134000E+02 -.406595E-07  .402199E-07 -.448079E-06
  .134500E+02 -.405138E-07  .406722E-07 -.459491E-06
  .135000E+02 -.403351E-07  .411173E-07 -.471147E-06
  .135500E+02 -.401222E-07  .415544E-07 -.483051E-06
  .136000E+02 -.398737E-07  .419832E-07 -.495207E-06
  .136500E+02 -.395885E-07  .424032E-07 -.507619E-06
  .137000E+02 -.392653E-07  .428136E-07 -.520290E-06
  .137500E+02 -.389027E-07  .432141E-07 -.533227E-06
  .138000E+02 -.384995E-07  .436041E-07 -.546431E-06
