  .000000E+00  .000000E+00  .000000E+00  .000000E+00
  .500000E-01  .988958E-22 -.245879E-19  .421700E-21
  .100000E+00  .128527E-20 -.319051E-18  .547136E-20
  .150000E+00  .850118E-20 -.210633E-17  .361165E-19
  .200000E+00  .385530E-19 -.953088E-17  .163398E-18
  .250000E+00  .135962E-18 -.335241E-16  .574641E-18
  .300000E+00  .400010E-18 -.983342E-16  .168524E-17
  .350000E+00  .102634E-17 -.251448E-15  .430835E-17
  .400000E+00  .236662E-17 -.577620E-15  .989467E-17
  .450000E+00  .501003E-17 -.121770E-14  .208538E-16
  .500000E+00  .989042E-17 -.239296E-14  .409693E-16
  .550000E+00  .184236E-16 -.443560E-14  .759175E-16
  .600000E+00  .326788E-16 -.782605E-14  .133903E-15
  .650000E+00  .555904E-16 -.132379E-13  .226419E-15
  .700000E+00  .912136E-16 -.215906E-13  .369145E-15
  .750000E+00  .145031E-15 -.341118E-13  .582993E-15
  .800000E+00  .224317E-15 -.524078E-13  .895308E-15
  .850000E+00  .338564E-15 -.785456E-13  .134124E-14
  .900000E+00  .499981E-15 -.115144E-12  .196527E-14
  .950000E+00  .724074E-15 -.165479E-12  .282299E-14
  .100000E+01  .103031E-14 -.233595E-12  .398296E-14
  .105000E+01  .144286E-14 -.324438E-12  .552889E-14
  .110000E+01  .199153E-14 -.443993E-12  .756194E-14
  .115000E+01  .271267E-14 -.599439E-12  .102033E-13
  .120000E+01  .365035E-14 -.799321E-12  .135971E-13
  .125000E+01  .485760E-14 -.105373E-11  .179130E-13
  .130000E+01  .639784E-14 -.137452E-11  .233502E-13
  .135000E+01  .834644E-14 -.177549E-11  .301401E-13
  .140000E+01  .107925E-13 -.227266E-11  .385506E-13
  .145000E+01  .138410E-13 -.288448E-11  .488903E-13
  .150000E+01  .176146E-13 -.363216E-11  .615120E-13
  .155000E+01  .222563E-13 -.453988E-11  .768182E-13
  .160000E+01  .279323E-13 -.563516E-11  .952653E-13
  .165000E+01  .348346E-13 -.694918E-11  .117369E-12
  .170000E+01  .431845E-13 -.851711E-11  .143710E-12
  .175000E+01  .532358E-13 -.103785E-10  .174938E-12
  .180000E+01  .652793E-13 -.125777E-10  .211780E-12
  .185000E+01  .796463E-13 -.151641E-10  .255047E-12
  .190000E+01  .967139E-13 -.181930E-10  .305637E-12
  .195000E+01  .116910E-12 -.217255E-10  .364545E-12
  .200000E+01  .140718E-12 -.258296E-10  .432869E-12
  .205000E+01  .168684E-12 -.305801E-10  .511819E-12
  .210000E+01  .201422E-12 -.360596E-10  .602723E-12
  .215000E+01  .239623E-12 -.423591E-10  .707035E-12
  .220000E+01  .284061E-12 -.495782E-10  .826347E-12
  .225000E+01  .335599E-12 -.578261E-10  .962394E-12
  .230000E+01  .395204E-12 -.672220E-10  .111706E-11
  .235000E+01  .463951E-12 -.778963E-10  .129241E-11
  .240000E+01  .543036E-12 -.899906E-10  .149066E-11
  .245000E+01  .633787E-12 -.103659E-09  .171421E-11
  .250000E+01  .737673E-12 -.119069E-09  .196568E-11
  .255000E+01  .856323E-12 -.136401E-09  .224787E-11
  .260000E+01  .991532E-12 -.155851E-09  .256381E-11
  .265000E+01  .114528E-11 -.177632E-09  .291674E-11
  .270000E+01  .131975E-11 -.201972E-09  .331016E-11
  .275000E+01  .151734E-11 -.229116E-09  .374780E-11
  .280000E+01  .174068E-11 -.259331E-09  .423369E-11
  .285000E+01  .199265E-11 -.292899E-09  .477210E-11
  .290000E+01  .227641E-11 -.330128E-09  .536761E-11
  .295000E+01  .259539E-11 -.371344E-09  .602509E-11
  .300000E+01  .295338E-11 -.416898E-09  .674975E-11
  .305000E+01  .335445E-11 -.467165E-09  .754711E-11
  .310000E+01  .380307E-11 -.522548E-09  .842305E-11
  .315000E+01  .430409E-11 -.583473E-09  .938380E-11
  .320000E+01  .486277E-11 -.650397E-09  .104360E-10
  .325000E+01  .548481E-11 -.723808E-09  .115866E-10
  .330000E+01  .617638E-11 -.804223E-09  .128431E-10
  .335000E+01  .694416E-11 -.892194E-09  .142132E-10
  .340000E+01  .779535E-11 -.988305E-09  .157053E-10
  .345000E+01  .873775E-11 -.109318E-08  .173282E-10
  .350000E+01  .977973E-11 -.120748E-08  .190909E-10
  .355000E+01  .109303E-10 -.133190E-08  .210033E-10
  .360000E+01  .121992E-10 -.146719E-08  .230755E-10
  .365000E+01  .135968E-10 -.161412E-08  .253184E-10
  .370000E+01  .151344E-10 -.177353E-08  .277432E-10
  .375000E+01  .168238E-10 -.194631E-08  .303618E-10
  .380000E+01  .186780E-10 -.213336E-08  .331867E-10
  .385000E+01  .207106E-10 -.233568E-08  .362309E-10
  .390000E+01  .229364E-10 -.255430E-08  .395083E-10
  .395000E+01  .253709E-10 -.279031E-08  .430331E-10
  .400000E+01  .280308E-10 -.304484E-08  .468204E-10
  .405000E+01  .309340E-10 -.331912E-08  .508860E-10
