  .000000E+00  .000000E+00  .000000E+00  .000000E+00
  .500000E-01 -.321742E-21 -.840014E-22  .510462E-22
  .100000E+00 -.417487E-20 -.108991E-20  .662348E-21
  .150000E+00 -.275617E-19 -.719469E-20  .437251E-20
  .200000E+00 -.124713E-18 -.325515E-19  .197839E-19
  .250000E+00 -.438669E-18 -.114483E-18  .695835E-19
  .300000E+00 -.128674E-17 -.335763E-18  .204090E-18
  .350000E+00 -.329036E-17 -.858452E-18  .521837E-18
  .400000E+00 -.755876E-17 -.197171E-17  .119866E-17
  .450000E+00 -.159356E-16 -.415598E-17  .252678E-17
  .500000E+00 -.313178E-16 -.816580E-17  .496524E-17
  .550000E+00 -.580553E-16 -.151336E-16  .920319E-17
  .600000E+00 -.102441E-15 -.266967E-16  .162374E-16
  .650000E+00 -.173301E-15 -.451496E-16  .274653E-16
  .700000E+00 -.282689E-15 -.736244E-16  .447950E-16
  .750000E+00 -.446701E-15 -.116300E-15  .707737E-16
  .800000E+00 -.686413E-15 -.178644E-15  .108735E-15
  .850000E+00 -.102895E-14 -.267689E-15  .162969E-15
  .900000E+00 -.150872E-14 -.392343E-15  .238909E-15
  .950000E+00 -.216873E-14 -.563743E-15  .343351E-15
  .100000E+01 -.306218E-14 -.795641E-15  .484689E-15
  .105000E+01 -.425406E-14 -.110484E-14  .673177E-15
  .110000E+01 -.582312E-14 -.151166E-14  .921226E-15
  .115000E+01 -.786380E-14 -.204048E-14  .124372E-14
  .120000E+01 -.104886E-13 -.272029E-14  .165838E-14
  .125000E+01 -.138302E-13 -.358529E-14  .218613E-14
  .130000E+01 -.180447E-13 -.467560E-14  .285152E-14
  .135000E+01 -.233138E-13 -.603793E-14  .368322E-14
  .140000E+01 -.298480E-13 -.772642E-14  .471446E-14
  .145000E+01 -.378904E-13 -.980336E-14  .598360E-14
  .150000E+01 -.477195E-13 -.123402E-13  .753472E-14
  .155000E+01 -.596535E-13 -.154184E-13  .941823E-14
  .160000E+01 -.740540E-13 -.191306E-13  .116915E-13
  .165000E+01 -.913304E-13 -.235813E-13  .144199E-13
