  .515000E+01 -.830068E-10  .967080E-10 -.128132E-09
  .520000E+01 -.878002E-10  .103681E-09 -.136263E-09
  .525000E+01 -.928001E-10  .111090E-09 -.144814E-09
  .530000E+01 -.980117E-10  .118960E-09 -.153801E-09
  .535000E+01 -.103440E-09  .127315E-09 -.163242E-09
  .540000E+01 -.109089E-09  .136182E-09 -.173153E-09
  .545000E+01 -.114965E-09  .145587E-09 -.183552E-09
  .550000E+01 -.121071E-09  .155559E-09 -.194458E-09
  .555000E+01 -.127413E-09  .166128E-09 -.205889E-09
  .560000E+01 -.133994E-09  .177326E-09 -.217863E-09
  .565000E+01 -.140819E-09  .189184E-09 -.230402E-09
  .570000E+01 -.147892E-09  .201737E-09 -.243524E-09
  .575000E+01 -.155215E-09  .215020E-09 -.257249E-09
  .580000E+01 -.162794E-09  .229071E-09 -.271598E-09
  .585000E+01 -.170630E-09  .243929E-09 -.286593E-09
  .590000E+01 -.178728E-09  .259633E-09 -.302255E-09
  .595000E+01 -.187088E-09  .276228E-09 -.318605E-09
  .600000E+01 -.195714E-09  .293756E-09 -.335667E-09
  .605000E+01 -.204607E-09  .312265E-09 -.353462E-09
  .610000E+01 -.213768E-09  .331802E-09 -.372013E-09
  .615000E+01 -.223199E-09  .352417E-09 -.391345E-09
  .620000E+01 -.232899E-09  .374164E-09 -.411480E-09
  .625000E+01 -.242869E-09  .397096E-09 -.432443E-09
  .630000E+01 -.253107E-09  .421271E-09 -.454259E-09
  .635000E+01 -.263612E-09  .446747E-09 -.476952E-09
  .640000E+01 -.274382E-09  .473587E-09 -.500547E-09
  .645000E+01 -.285415E-09  .501855E-09 -.525070E-09
  .650000E+01 -.296706E-09  .531618E-09 -.550545E-09
  .655000E+01 -.308252E-09  .562944E-09 -.577000E-09
  .660000E+01 -.320048E-09  .595907E-09 -.604460E-09
  .665000E+01 -.332086E-09  .630582E-09 -.632952E-09
  .670000E+01 -.344361E-09  .667047E-09 -.662502E-09
  .675000E+01 -.356865E-09  .705383E-09 -.693136E-09
  .680000E+01 -.369589E-09  .745674E-09 -.724882E-09
  .685000E+01 -.382522E-09  .788009E-09 -.757767E-09
  .690000E+01 -.395655E-09  .832478E-09 -.791817E-09
  .695000E+01 -.408975E-09  .879175E-09 -.827059E-09
  .700000E+01 -.422469E-09  .928198E-09 -.863522E-09
  .705000E+01 -.436122E-09  .979650E-09 -.901231E-09
  .710000E+01 -.449919E-09  .103364E-08 -.940214E-09
  .715000E+01 -.463844E-09  .109026E-08 -.980498E-09
  .720000E+01 -.477878E-09  .114965E-08 -.102211E-08
  .725000E+01 -.492001E-09  .121190E-08 -.106508E-08
  .730000E+01 -.506193E-09  .127715E-08 -.110942E-08
  .735000E+01 -.520432E-09  .134552E-08 -.115518E-08
  .740000E+01 -.534694E-09  .141715E-08 -.120237E-08
  .745000E+01 -.548953E-09  .149215E-08 -.125101E-08
  .750000E+01 -.563184E-09  .157068E-08 -.130114E-08
  .755000E+01 -.577357E-09  .165288E-08 -.135278E-08
  .760000E+01 -.591445E-09  .173890E-08 -.140596E-08
  .765000E+01 -.605414E-09  .182888E-08 -.146069E-08
  .770000E+01 -.619232E-09  .192300E-08 -.151700E-08
  .775000E+01 -.632866E-09  .202141E-08 -.157492E-08
  .780000E+01 -.646277E-09  .212429E-08 -.163446E-08
  .785000E+01 -.659430E-09  .223180E-08 -.169565E-08
  .790000E+01 -.672284E-09  .234414E-08 -.175850E-08
  .795000E+01 -.684798E-09  .246148E-08 -.182305E-08
  .800000E+01 -.696929E-09  .258401E-08 -.188930E-08
  .805000E+01 -.708633E-09  .271195E-08 -.195727E-08
  .810000E+01 -.719862E-09  .284548E-08 -.202699E-08
  .815000E+01 -.730569E-09  .298482E-08 -.209847E-08
  .820000E+01 -.740704E-09  .313019E-08 -.217171E-08
  .825000E+01 -.750214E-09  .328181E-08 -.224675E-08
  .830000E+01 -.759046E-09  .343991E-08 -.232359E-08
  .835000E+01 -.767145E-09  .360473E-08 -.240224E-08
  .840000E+01 -.774452E-09  .377650E-08 -.248272E-08
  .845000E+01 -.780908E-09  .395549E-08 -.256503E-08
  .850000E+01 -.786452E-09  .414195E-08 -.264918E-08
  .855000E+01 -.791021E-09  .433613E-08 -.273518E-08
  .860000E+01 -.794548E-09  .453833E-08 -.282303E-08
  .865000E+01 -.796967E-09  .474880E-08 -.291275E-08
  .870000E+01 -.798207E-09  .496786E-08 -.300433E-08
  .875000E+01 -.798197E-09  .519578E-08 -.309778E-08
  .880000E+01 -.796863E-09  .543287E-08 -.319309E-08
  .885000E+01 -.794128E-09  .567945E-08 -.329027E-08
  .890000E+01 -.789913E-09  .593584E-08 -.338932E-08
  .895000E+01 -.784137E-09  .620237E-08 -.349022E-08
  .900000E+01 -.776718E-09  .647937E-08 -.359298E-08
  .905000E+01 -.767567E-09  .676719E-08 -.369759E-08
  .910000E+01 -.756597E-09  .706620E-08 -.380404E-08
  .915000E+01 -.743717E-09  .737675E-08 -.391232E-08
  .920000E+01 -.728831E-09  .769922E-08 -.402242E-08
  .925000E+01 -.711843E-09  .803399E-08 -.413433E-08
  .930000E+01 -.692652E-09  .838147E-08 -.424804E-08
  .935000E+01 -.671156E-09  .874205E-08 -.436352E-08
  .940000E+01 -.647248E-09  .911616E-08 -.448077E-08
  .945000E+01 -.620820E-09  .950421E-08 -.459975E-08
  .950000E+01 -.591759E-09  .990665E-08 -.472046E-08
  .955000E+01 -.559948E-09  .103239E-07 -.484288E-08
  .960000E+01 -.525269E-09  .107565E-07 -.496697E-08
  .965000E+01 -.487600E-09  .112048E-07 -.509271E-08
  .970000E+01 -.446813E-09  .116693E-07 -.522007E-08
  .975000E+01 -.402780E-09  .121506E-07 -.534904E-08
  .980000E+01 -.355366E-09  .126491E-07 -.547957E-08
  .985000E+01 -.304436E-09  .131654E-07 -.561164E-08
  .990000E+01 -.249847E-09  .136999E-07 -.574521E-08
  .995000E+01 -.191455E-09  .142532E-07 -.588025E-08
  .100000E+02 -.129113E-09  .148259E-07 -.601673E-08
  .100500E+02 -.626668E-10  .154185E-07 -.615460E-08
  .101000E+02  .803920E-11  .160316E-07 -.629382E-08
  .101500E+02  .831654E-10  .166658E-07 -.643435E-08
  .102000E+02  .162876E-09  .173216E-07 -.657616E-08
  .102500E+02  .247340E-09  .179998E-07 -.671919E-08
  .103000E+02  .336729E-09  .187009E-07 -.686340E-08
  .103500E+02  .431219E-09  .194255E-07 -.700875E-08
  .104000E+02  .530993E-09  .201744E-07 -.715517E-08
  .104500E+02  .636233E-09  .209481E-07 -.730263E-08
  .105000E+02  .747129E-09  .217474E-07 -.745106E-08
  .105500E+02  .863875E-09  .225730E-07 -.760041E-08
  .106000E+02  .986668E-09  .234255E-07 -.775063E-08
  .106500E+02  .111571E-08  .243057E-07 -.790165E-08
  .107000E+02  .125121E-08  .252143E-07 -.805341E-08
  .107500E+02  .139337E-08  .261520E-07 -.820585E-08
  .108000E+02  .154241E-08  .271198E-07 -.835891E-08
  .108500E+02  .169855E-08  .281182E-07 -.851251E-08
  .109000E+02  .186202E-08  .291481E-07 -.866659E-08
  .109500E+02  .203303E-08  .302103E-07 -.882106E-08
  .110000E+02  .221184E-08  .313057E-07 -.897587E-08
  .110500E+02  .239866E-08  .324351E-07 -.913092E-08
  .111000E+02  .259375E-08  .335993E-07 -.928613E-08
  .111500E+02  .279736E-08  .347992E-07 -.944143E-08
  .112000E+02  .300973E-08  .360357E-07 -.959671E-08
  .112500E+02  .323112E-08  .373098E-07 -.975190E-08
  .113000E+02  .346180E-08  .386222E-07 -.990690E-08
  .113500E+02  .370203E-08  .399740E-07 -.100616E-07
  .114000E+02  .395209E-08  .413662E-07 -.102159E-07
  .114500E+02  .421225E-08  .427996E-07 -.103697E-07
  .115000E+02  .448280E-08  .442753E-07 -.105229E-07
  .115500E+02  .476401E-08  .457943E-07 -.106754E-07
  .116000E+02  .505620E-08  .473577E-07 -.108271E-07
  .116500E+02  .535966E-08  .489664E-07 -.109778E-07
  .117000E+02  .567469E-08  .506215E-07 -.111274E-07
  .117500E+02  .600160E-08  .523241E-07 -.112758E-07
  .118000E+02  .634071E-08  .540753E-07 -.114229E-07
  .118500E+02  .669234E-08  .558763E-07 -.115684E-07
  .119000E+02  .705682E-08  .577281E-07 -.117123E-07
  .119500E+02  .743448E-08  .596320E-07 -.118545E-07
  .120000E+02  .782567E-08  .615890E-07 -.119947E-07
  .120500E+02  .823072E-08  .636005E-07 -.121328E-07
  .121000E+02  .864998E-08  .656676E-07 -.122686E-07
  .121500E+02  .908382E-08  .677915E-07 -.124020E-07
