  .515000E+01 -.985654E-11  .233582E-11 -.181383E-10
  .520000E+01 -.105264E-10  .251522E-11 -.193723E-10
  .525000E+01 -.112350E-10  .270676E-11 -.206770E-10
  .530000E+01 -.119843E-10  .291107E-11 -.220558E-10
  .535000E+01 -.127761E-10  .312880E-11 -.235119E-10
  .540000E+01 -.136125E-10  .336061E-11 -.250491E-10
  .545000E+01 -.144957E-10  .360717E-11 -.266708E-10
  .550000E+01 -.154277E-10  .386916E-11 -.283810E-10
  .555000E+01 -.164109E-10  .414727E-11 -.301834E-10
  .560000E+01 -.174477E-10  .444218E-11 -.320822E-10
  .565000E+01 -.185404E-10  .475460E-11 -.340814E-10
  .570000E+01 -.196916E-10  .508521E-11 -.361855E-10
  .575000E+01 -.209039E-10  .543470E-11 -.383988E-10
  .580000E+01 -.221800E-10  .580377E-11 -.407260E-10
  .585000E+01 -.235228E-10  .619310E-11 -.431716E-10
  .590000E+01 -.249351E-10  .660337E-11 -.457407E-10
  .595000E+01 -.264200E-10  .703524E-11 -.484382E-10
  .600000E+01 -.279806E-10  .748936E-11 -.512693E-10
  .605000E+01 -.296200E-10  .796640E-11 -.542393E-10
  .610000E+01 -.313416E-10  .846697E-11 -.573537E-10
  .615000E+01 -.331489E-10  .899169E-11 -.606181E-10
  .620000E+01 -.350453E-10  .954115E-11 -.640382E-10
  .625000E+01 -.370345E-10  .101159E-10 -.676201E-10
  .630000E+01 -.391204E-10  .107166E-10 -.713699E-10
  .635000E+01 -.413066E-10  .113436E-10 -.752938E-10
  .640000E+01 -.435973E-10  .119974E-10 -.793983E-10
  .645000E+01 -.459965E-10  .126787E-10 -.836901E-10
  .650000E+01 -.485085E-10  .133877E-10 -.881760E-10
  .655000E+01 -.511376E-10  .141248E-10 -.928629E-10
  .660000E+01 -.538882E-10  .148905E-10 -.977581E-10
  .665000E+01 -.567649E-10  .156851E-10 -.102869E-09
  .670000E+01 -.597724E-10  .165089E-10 -.108203E-09
  .675000E+01 -.629155E-10  .173621E-10 -.113768E-09
  .680000E+01 -.661991E-10  .182450E-10 -.119571E-09
  .685000E+01 -.696282E-10  .191579E-10 -.125622E-09
  .690000E+01 -.732080E-10  .201008E-10 -.131928E-09
  .695000E+01 -.769438E-10  .210739E-10 -.138497E-09
  .700000E+01 -.808409E-10  .220775E-10 -.145340E-09
  .705000E+01 -.849048E-10  .231115E-10 -.152464E-09
  .710000E+01 -.891411E-10  .241761E-10 -.159879E-09
  .715000E+01 -.935556E-10  .252713E-10 -.167594E-09
  .720000E+01 -.981541E-10  .263972E-10 -.175618E-09
  .725000E+01 -.102943E-09  .275539E-10 -.183963E-09
  .730000E+01 -.107927E-09  .287415E-10 -.192637E-09
  .735000E+01 -.113113E-09  .299599E-10 -.201652E-09
  .740000E+01 -.118508E-09  .312092E-10 -.211017E-09
  .745000E+01 -.124118E-09  .324894E-10 -.220744E-09
  .750000E+01 -.129949E-09  .338007E-10 -.230843E-09
  .755000E+01 -.136007E-09  .351432E-10 -.241327E-09
  .760000E+01 -.142300E-09  .365168E-10 -.252206E-09
  .765000E+01 -.148834E-09  .379219E-10 -.263493E-09
  .770000E+01 -.155616E-09  .393584E-10 -.275200E-09
  .775000E+01 -.162654E-09  .408267E-10 -.287339E-09
  .780000E+01 -.169953E-09  .423269E-10 -.299923E-09
  .785000E+01 -.177521E-09  .438592E-10 -.312965E-09
  .790000E+01 -.185365E-09  .454240E-10 -.326478E-09
  .795000E+01 -.193493E-09  .470216E-10 -.340477E-09
  .800000E+01 -.201912E-09  .486523E-10 -.354974E-09
  .805000E+01 -.210630E-09  .503167E-10 -.369984E-09
  .810000E+01 -.219654E-09  .520152E-10 -.385522E-09
  .815000E+01 -.228992E-09  .537484E-10 -.401602E-09
  .820000E+01 -.238652E-09  .555169E-10 -.418240E-09
  .825000E+01 -.248641E-09  .573215E-10 -.435452E-09
  .830000E+01 -.258968E-09  .591630E-10 -.453252E-09
  .835000E+01 -.269641E-09  .610422E-10 -.471658E-09
  .840000E+01 -.280668E-09  .629601E-10 -.490686E-09
  .845000E+01 -.292057E-09  .649178E-10 -.510353E-09
  .850000E+01 -.303818E-09  .669164E-10 -.530676E-09
  .855000E+01 -.315957E-09  .689572E-10 -.551672E-09
  .860000E+01 -.328485E-09  .710416E-10 -.573360E-09
  .865000E+01 -.341410E-09  .731709E-10 -.595759E-09
  .870000E+01 -.354741E-09  .753469E-10 -.618886E-09
  .875000E+01 -.368486E-09  .775711E-10 -.642761E-09
  .880000E+01 -.382657E-09  .798454E-10 -.667404E-09
  .885000E+01 -.397261E-09  .821714E-10 -.692835E-09
  .890000E+01 -.412309E-09  .845512E-10 -.719073E-09
  .895000E+01 -.427810E-09  .869867E-10 -.746140E-09
  .900000E+01 -.443774E-09  .894801E-10 -.774057E-09
  .905000E+01 -.460212E-09  .920334E-10 -.802845E-09
  .910000E+01 -.477134E-09  .946488E-10 -.832527E-09
  .915000E+01 -.494551E-09  .973288E-10 -.863124E-09
  .920000E+01 -.512474E-09  .100076E-09 -.894659E-09
  .925000E+01 -.530914E-09  .102892E-09 -.927156E-09
  .930000E+01 -.549882E-09  .105779E-09 -.960638E-09
  .935000E+01 -.569390E-09  .108742E-09 -.995129E-09
  .940000E+01 -.589450E-09  .111780E-09 -.103065E-08
