  .000000E+00  .000000E+00  .000000E+00  .000000E+00
  .500000E-01  .170416E-21 -.531517E-21  .390094E-22
  .100000E+00  .221202E-20 -.689568E-20  .505678E-21
  .150000E+00  .146094E-19 -.455145E-19  .333443E-20
  .200000E+00  .661374E-19 -.205898E-18  .150661E-19
  .250000E+00  .232756E-18 -.724036E-18  .529010E-19
  .300000E+00  .683117E-18 -.212317E-17  .154843E-18
  .350000E+00  .174784E-17 -.542749E-17  .394960E-18
  .400000E+00  .401783E-17 -.124638E-16  .904697E-18
  .450000E+00  .847708E-17 -.262657E-16  .190111E-17
  .500000E+00  .166755E-16 -.515944E-16  .372280E-17
  .550000E+00  .309469E-16 -.955905E-16  .687410E-17
  .600000E+00  .546779E-16 -.168569E-15  .120782E-16
  .650000E+00  .926326E-16 -.284973E-15  .203397E-16
  .700000E+00  .151340E-15 -.464495E-15  .330169E-16
  .750000E+00  .239549E-15 -.733383E-15  .519041E-16
  .800000E+00  .368753E-15 -.112594E-14  .793244E-16
  .850000E+00  .553799E-15 -.168622E-14  .118233E-15
  .900000E+00  .813575E-15 -.246995E-14  .172328E-15
  .950000E+00  .117179E-14 -.354671E-14  .246177E-15
  .100000E+01  .165783E-14 -.500226E-14  .345347E-15
  .105000E+01  .230779E-14 -.694121E-14  .476550E-15
  .110000E+01  .316552E-14 -.948988E-14  .647804E-15
  .115000E+01  .428385E-14 -.127994E-13  .868606E-15
  .120000E+01  .572595E-14 -.170493E-13  .115011E-14
  .125000E+01  .756677E-14 -.224509E-13  .150532E-14
  .130000E+01  .989460E-14 -.292516E-13  .194927E-14
  .135000E+01  .128127E-13 -.377389E-13  .249920E-14
  .140000E+01  .164413E-13 -.482454E-13  .317475E-14
  .145000E+01  .209195E-13 -.611534E-13  .399811E-14
  .150000E+01  .264074E-13 -.769001E-13  .499421E-14
  .155000E+01  .330889E-13 -.959832E-13  .619084E-14
  .160000E+01  .411740E-13 -.118967E-12  .761884E-14
  .165000E+01  .509020E-13 -.146486E-12  .931223E-14
  .170000E+01  .625441E-13 -.179257E-12  .113084E-13
  .175000E+01  .764070E-13 -.218079E-12  .136481E-13
  .180000E+01  .928359E-13 -.263845E-12  .163758E-13
  .185000E+01  .112219E-12 -.317548E-12  .195401E-13
  .190000E+01  .134989E-12 -.380286E-12  .231933E-13
  .195000E+01  .161631E-12 -.453277E-12  .273924E-13
  .200000E+01  .192685E-12 -.537857E-12  .321987E-13
  .205000E+01  .228748E-12 -.635499E-12  .376784E-13
  .210000E+01  .270482E-12 -.747816E-12  .439023E-13
  .215000E+01  .318617E-12 -.876570E-12  .509464E-13
  .220000E+01  .373955E-12 -.102369E-11  .588919E-13
  .225000E+01  .437378E-12 -.119126E-11  .678250E-13
  .230000E+01  .509848E-12 -.138158E-11  .778368E-13
  .235000E+01  .592416E-12 -.159710E-11  .890239E-13
  .240000E+01  .686228E-12 -.184051E-11  .101487E-12
  .245000E+01  .792528E-12 -.211470E-11  .115333E-12
  .250000E+01  .912667E-12 -.242278E-11  .130669E-12
  .255000E+01  .104811E-11 -.276812E-11  .147610E-12
  .260000E+01  .120044E-11 -.315431E-11  .166270E-12
  .265000E+01  .137138E-11 -.358524E-11  .186767E-12
  .270000E+01  .156276E-11 -.406503E-11  .209218E-12
  .275000E+01  .177660E-11 -.459812E-11  .233739E-12
