  .000000E+00  .000000E+00  .000000E+00  .000000E+00
  .500000E-01 -.321829E-21 -.843152E-22  .508657E-22
  .100000E+00 -.417600E-20 -.109398E-20  .660004E-21
  .150000E+00 -.275692E-19 -.722160E-20  .435702E-20
  .200000E+00 -.124746E-18 -.326733E-19  .197137E-19
  .250000E+00 -.438786E-18 -.114912E-18  .693363E-19
  .300000E+00 -.128708E-17 -.337019E-18  .203364E-18
  .350000E+00 -.329121E-17 -.861662E-18  .519976E-18
  .400000E+00 -.756069E-17 -.197908E-17  .119438E-17
  .450000E+00 -.159396E-16 -.417151E-17  .251772E-17
  .500000E+00 -.313254E-16 -.819627E-17  .494738E-17
  .550000E+00 -.580691E-16 -.151900E-16  .917000E-17
  .600000E+00 -.102465E-15 -.267961E-16  .161787E-16
  .650000E+00 -.173340E-15 -.453176E-16  .273658E-16
  .700000E+00 -.282751E-15 -.738980E-16  .446324E-16
  .750000E+00 -.446796E-15 -.116732E-15  .705164E-16
  .800000E+00 -.686556E-15 -.179306E-15  .108340E-15
  .850000E+00 -.102916E-14 -.268679E-15  .162376E-15
  .900000E+00 -.150902E-14 -.393792E-15  .238040E-15
  .950000E+00 -.216917E-14 -.565821E-15  .342105E-15
  .100000E+01 -.306279E-14 -.798569E-15  .482933E-15
  .105000E+01 -.425492E-14 -.110890E-14  .670745E-15
  .110000E+01 -.582431E-14 -.151721E-14  .917908E-15
  .115000E+01 -.786546E-14 -.204796E-14  .123925E-14
  .120000E+01 -.104909E-13 -.273025E-14  .165244E-14
  .125000E+01 -.138334E-13 -.359842E-14  .217831E-14
  .130000E+01 -.180490E-13 -.469273E-14  .284134E-14
  .135000E+01 -.233196E-13 -.606007E-14  .367008E-14
  .140000E+01 -.298559E-13 -.775478E-14  .469764E-14
  .145000E+01 -.379009E-13 -.983940E-14  .596223E-14
  .150000E+01 -.477334E-13 -.123857E-13  .750775E-14
  .155000E+01 -.596718E-13 -.154753E-13  .938441E-14
  .160000E+01 -.740779E-13 -.192013E-13  .116494E-13
  .165000E+01 -.913614E-13 -.236686E-13  .143676E-13
  .170000E+01 -.111984E-12 -.289957E-13  .176124E-13
  .175000E+01 -.136466E-12 -.353154E-13  .214666E-13
  .180000E+01 -.165388E-12 -.427766E-13  .260231E-13
  .185000E+01 -.199401E-12 -.515451E-13  .313861E-13
  .190000E+01 -.239226E-12 -.618055E-13  .376717E-13
  .195000E+01 -.285668E-12 -.737626E-13  .450096E-13
  .200000E+01 -.339615E-12 -.876428E-13  .535434E-13
  .205000E+01 -.402050E-12 -.103696E-12  .634323E-13
  .210000E+01 -.474054E-12 -.122199E-12  .748520E-13
  .215000E+01 -.556817E-12 -.143453E-12  .879960E-13
  .220000E+01 -.651644E-12 -.167790E-12  .103077E-12
  .225000E+01 -.759963E-12 -.195575E-12  .120327E-12
  .230000E+01 -.883334E-12 -.227204E-12  .140002E-12
  .235000E+01 -.102346E-11 -.263112E-12  .162377E-12
  .240000E+01 -.118219E-11 -.303769E-12  .187755E-12
  .245000E+01 -.136153E-11 -.349689E-12  .216463E-12
  .250000E+01 -.156367E-11 -.401430E-12  .248854E-12
  .255000E+01 -.179097E-11 -.459595E-12  .285311E-12
  .260000E+01 -.204599E-11 -.524838E-12  .326248E-12
  .265000E+01 -.233147E-11 -.597865E-12  .372107E-12
  .270000E+01 -.265040E-11 -.679438E-12  .423368E-12
  .275000E+01 -.300596E-11 -.770378E-12  .480544E-12
  .280000E+01 -.340161E-11 -.871568E-12  .544183E-12
  .285000E+01 -.384102E-11 -.983957E-12  .614877E-12
  .290000E+01 -.432816E-11 -.110856E-11  .693254E-12
  .295000E+01 -.486728E-11 -.124647E-11  .779990E-12
  .300000E+01 -.546289E-11 -.139886E-11  .875803E-12
  .305000E+01 -.611986E-11 -.156696E-11  .981462E-12
  .310000E+01 -.684335E-11 -.175210E-11  .109778E-11
  .315000E+01 -.763888E-11 -.195571E-11  .122564E-11
  .320000E+01 -.851232E-11 -.217927E-11  .136596E-11
  .325000E+01 -.946993E-11 -.242441E-11  .151974E-11
  .330000E+01 -.105184E-10 -.269280E-11  .168800E-11
  .335000E+01 -.116646E-10 -.298624E-11  .187188E-11
  .340000E+01 -.129163E-10 -.330664E-11  .207254E-11
  .345000E+01 -.142813E-10 -.365601E-11  .229125E-11
  .350000E+01 -.157680E-10 -.403647E-11  .252931E-11
  .355000E+01 -.173854E-10 -.445026E-11  .278814E-11
  .360000E+01 -.191429E-10 -.489972E-11  .306921E-11
  .365000E+01 -.210504E-10 -.538734E-11  .337409E-11
  .370000E+01 -.231186E-10 -.591572E-11  .370443E-11
  .375000E+01 -.253585E-10 -.648758E-11  .406197E-11
  .380000E+01 -.277819E-10 -.710580E-11  .444857E-11
  .385000E+01 -.304012E-10 -.777337E-11  .486615E-11
  .390000E+01 -.332295E-10 -.849343E-11  .531678E-11
  .395000E+01 -.362805E-10 -.926926E-11  .580260E-11
  .400000E+01 -.395688E-10 -.101043E-10  .632591E-11
  .405000E+01 -.431095E-10 -.110021E-10  .688910E-11
  .410000E+01 -.469188E-10 -.119663E-10  .749470E-11
  .415000E+01 -.510134E-10 -.130010E-10  .814538E-11
  .420000E+01 -.554113E-10 -.141101E-10  .884396E-11
  .425000E+01 -.601309E-10 -.152978E-10  .959340E-11
  .430000E+01 -.651919E-10 -.165685E-10  .103968E-10
  .435000E+01 -.706149E-10 -.179268E-10  .112575E-10
  .440000E+01 -.764212E-10 -.193774E-10  .121789E-10
  .445000E+01 -.826336E-10 -.209252E-10  .131647E-10
  .450000E+01 -.892758E-10 -.225753E-10  .142186E-10
  .455000E+01 -.963724E-10 -.243329E-10  .153448E-10
  .460000E+01 -.103949E-09 -.262035E-10  .165474E-10
  .465000E+01 -.112034E-09 -.281926E-10  .178310E-10
  .470000E+01 -.120655E-09 -.303062E-10  .192001E-10
  .475000E+01 -.129841E-09 -.325500E-10  .206596E-10
  .480000E+01 -.139625E-09 -.349304E-10  .222148E-10
  .485000E+01 -.150037E-09 -.374537E-10  .238710E-10
  .490000E+01 -.161113E-09 -.401262E-10  .256338E-10
