  .515000E+01 -.398890E-09  .262949E-09 -.677058E-09
  .520000E+01 -.424043E-09  .279272E-09 -.722847E-09
  .525000E+01 -.450475E-09  .296411E-09 -.771247E-09
  .530000E+01 -.478234E-09  .314395E-09 -.822381E-09
  .535000E+01 -.507371E-09  .333256E-09 -.876375E-09
  .540000E+01 -.537935E-09  .353026E-09 -.933361E-09
  .545000E+01 -.569979E-09  .373738E-09 -.993476E-09
  .550000E+01 -.603554E-09  .395423E-09 -.105686E-08
  .555000E+01 -.638714E-09  .418117E-09 -.112366E-08
  .560000E+01 -.675514E-09  .441853E-09 -.119403E-08
  .565000E+01 -.714010E-09  .466666E-09 -.126812E-08
  .570000E+01 -.754258E-09  .492594E-09 -.134610E-08
  .575000E+01 -.796316E-09  .519671E-09 -.142813E-08
  .580000E+01 -.840242E-09  .547935E-09 -.151440E-08
  .585000E+01 -.886096E-09  .577425E-09 -.160507E-08
  .590000E+01 -.933937E-09  .608179E-09 -.170034E-08
  .595000E+01 -.983827E-09  .640237E-09 -.180040E-08
  .600000E+01 -.103583E-08  .673640E-09 -.190545E-08
  .605000E+01 -.109000E-08  .708429E-09 -.201570E-08
  .610000E+01 -.114641E-08  .744646E-09 -.213135E-08
  .615000E+01 -.120513E-08  .782335E-09 -.225263E-08
  .620000E+01 -.126620E-08  .821540E-09 -.237976E-08
  .625000E+01 -.132971E-08  .862307E-09 -.251299E-08
  .630000E+01 -.139572E-08  .904681E-09 -.265255E-08
  .635000E+01 -.146429E-08  .948711E-09 -.279870E-08
  .640000E+01 -.153549E-08  .994445E-09 -.295169E-08
  .645000E+01 -.160939E-08  .104193E-08 -.311179E-08
  .650000E+01 -.168605E-08  .109122E-08 -.327928E-08
  .655000E+01 -.176555E-08  .114237E-08 -.345444E-08
  .660000E+01 -.184795E-08  .119543E-08 -.363757E-08
  .665000E+01 -.193332E-08  .125046E-08 -.382896E-08
  .670000E+01 -.202173E-08  .130751E-08 -.402893E-08
  .675000E+01 -.211325E-08  .136663E-08 -.423780E-08
  .680000E+01 -.220795E-08  .142790E-08 -.445590E-08
  .685000E+01 -.230589E-08  .149136E-08 -.468358E-08
  .690000E+01 -.240714E-08  .155709E-08 -.492118E-08
  .695000E+01 -.251178E-08  .162514E-08 -.516906E-08
  .700000E+01 -.261986E-08  .169557E-08 -.542759E-08
  .705000E+01 -.273147E-08  .176846E-08 -.569716E-08
  .710000E+01 -.284666E-08  .184387E-08 -.597817E-08
  .715000E+01 -.296550E-08  .192188E-08 -.627100E-08
  .720000E+01 -.308807E-08  .200254E-08 -.657609E-08
  .725000E+01 -.321441E-08  .208593E-08 -.689385E-08
  .730000E+01 -.334461E-08  .217213E-08 -.722473E-08
  .735000E+01 -.347872E-08  .226121E-08 -.756918E-08
  .740000E+01 -.361681E-08  .235324E-08 -.792765E-08
  .745000E+01 -.375893E-08  .244830E-08 -.830062E-08
  .750000E+01 -.390516E-08  .254646E-08 -.868859E-08
  .755000E+01 -.405555E-08  .264782E-08 -.909204E-08
  .760000E+01 -.421016E-08  .275244E-08 -.951150E-08
  .765000E+01 -.436905E-08  .286041E-08 -.994750E-08
  .770000E+01 -.453228E-08  .297181E-08 -.104006E-07
  .775000E+01 -.469990E-08  .308673E-08 -.108713E-07
  .780000E+01 -.487196E-08  .320524E-08 -.113601E-07
  .785000E+01 -.504852E-08  .332744E-08 -.118678E-07
  .790000E+01 -.522963E-08  .345341E-08 -.123948E-07
  .795000E+01 -.541533E-08  .358324E-08 -.129419E-07
  .800000E+01 -.560568E-08  .371702E-08 -.135095E-07
  .805000E+01 -.580072E-08  .385483E-08 -.140984E-07
  .810000E+01 -.600049E-08  .399676E-08 -.147092E-07
  .815000E+01 -.620504E-08  .414291E-08 -.153426E-07
  .820000E+01 -.641439E-08  .429336E-08 -.159993E-07
  .825000E+01 -.662860E-08  .444821E-08 -.166800E-07
  .830000E+01 -.684770E-08  .460755E-08 -.173854E-07
  .835000E+01 -.707172E-08  .477146E-08 -.181163E-07
  .840000E+01 -.730068E-08  .494005E-08 -.188734E-07
  .845000E+01 -.753462E-08  .511339E-08 -.196575E-07
  .850000E+01 -.777357E-08  .529159E-08 -.204693E-07
  .855000E+01 -.801754E-08  .547472E-08 -.213098E-07
  .860000E+01 -.826656E-08  .566289E-08 -.221797E-07
  .865000E+01 -.852065E-08  .585618E-08 -.230799E-07
  .870000E+01 -.877981E-08  .605468E-08 -.240112E-07
  .875000E+01 -.904406E-08  .625848E-08 -.249746E-07
