  .000000E+00  .000000E+00  .000000E+00  .000000E+00
  .500000E-01  .941105E-20  .165912E-20  .119832E-21
  .100000E+00  .122126E-18  .215306E-19  .155517E-20
  .150000E+00  .806330E-18  .142157E-18  .102689E-19
  .200000E+00  .364893E-17  .643325E-18  .464752E-19
  .250000E+00  .128364E-16  .226318E-17  .163513E-18
  .300000E+00  .376580E-16  .663959E-17  .479756E-18
  .350000E+00  .963110E-16  .169813E-16  .122715E-17
  .400000E+00  .221285E-15  .390173E-16  .281995E-17
  .450000E+00  .466599E-15  .822732E-16  .594703E-17
  .500000E+00  .917154E-15  .161721E-15  .116915E-16
  .550000E+00  .170048E-14  .299852E-15  .216806E-16
  .600000E+00  .300112E-14  .529214E-15  .382701E-16
  .650000E+00  .507795E-14  .895466E-15  .647654E-16
  .700000E+00  .828467E-14  .146100E-14  .105684E-15
  .750000E+00  .130937E-13  .230914E-14  .167062E-15
  .800000E+00  .201239E-13  .354906E-14  .256810E-15
  .850000E+00  .301719E-13  .532134E-14  .385114E-15
  .900000E+00  .442485E-13  .780427E-14  .564902E-15
  .950000E+00  .636181E-13  .112210E-13  .812359E-15
  .100000E+01  .898448E-13  .158476E-13  .114751E-14
  .105000E+01  .124842E-12  .220217E-13  .159486E-14
  .110000E+01  .170927E-12  .301525E-13  .218414E-14
  .115000E+01  .230884E-12  .407315E-13  .295105E-14
  .120000E+01  .308030E-12  .543443E-13  .393818E-14
  .125000E+01  .406286E-12  .716837E-13  .519594E-14
  .130000E+01  .530260E-12  .935635E-13  .678359E-14
  .135000E+01  .685331E-12  .120934E-12  .877042E-14
  .140000E+01  .877742E-12  .154899E-12  .112369E-13
  .145000E+01  .111470E-11  .196733E-12  .142762E-13
  .150000E+01  .140449E-11  .247899E-12  .179952E-13
  .155000E+01  .175659E-11  .310074E-12  .225167E-13
  .160000E+01  .218177E-11  .385167E-12  .279804E-13
  .165000E+01  .269228E-11  .475341E-12  .345452E-13
  .170000E+01  .330194E-11  .583045E-12  .423908E-13
  .175000E+01  .402630E-11  .711035E-12  .517200E-13
  .180000E+01  .488284E-11  .862405E-12  .627604E-13
  .185000E+01  .589110E-11  .104062E-11  .757673E-13
  .190000E+01  .707285E-11  .124954E-11  .910258E-13
  .195000E+01  .845235E-11  .149347E-11  .108854E-12
  .200000E+01  .100565E-10  .177718E-11  .129604E-12
  .205000E+01  .119150E-10  .210596E-11  .153667E-12
  .210000E+01  .140607E-10  .248563E-11  .181476E-12
  .215000E+01  .165298E-10  .292263E-11  .213509E-12
  .220000E+01  .193620E-10  .342403E-11  .250290E-12
  .225000E+01  .226010E-10  .399759E-11  .292397E-12
  .230000E+01  .262943E-10  .465180E-11  .340464E-12
  .235000E+01  .304942E-10  .539594E-11  .395183E-12
  .240000E+01  .352575E-10  .624017E-11  .457312E-12
  .245000E+01  .406461E-10  .719550E-11  .527678E-12
  .250000E+01  .467271E-10  .827397E-11  .607181E-12
  .255000E+01  .535736E-10  .948859E-11  .696801E-12
  .260000E+01  .612647E-10  .108535E-10  .797602E-12
  .265000E+01  .698858E-10  .123840E-10  .910739E-12
  .270000E+01  .795294E-10  .140967E-10  .103746E-11
  .275000E+01  .902952E-10  .160094E-10  .117912E-11
  .280000E+01  .102291E-09  .181414E-10  .133718E-11
  .285000E+01  .115631E-09  .205133E-10  .151322E-11
  .290000E+01  .130441E-09  .231477E-10  .170893E-11
  .295000E+01  .146855E-09  .260683E-10  .192616E-11
  .300000E+01  .165014E-09  .293011E-10  .216687E-11
  .305000E+01  .185072E-09  .328734E-10  .243317E-11
  .310000E+01  .207193E-09  .368150E-10  .272733E-11
  .315000E+01  .231553E-09  .411573E-10  .305180E-11
  .320000E+01  .258339E-09  .459343E-10  .340917E-11
  .325000E+01  .287750E-09  .511820E-10  .380223E-11
  .330000E+01  .319999E-09  .569389E-10  .423397E-11
  .335000E+01  .355314E-09  .632460E-10  .470757E-11
  .340000E+01  .393935E-09  .701470E-10  .522641E-11
  .345000E+01  .436118E-09  .776885E-10  .579411E-11
  .350000E+01  .482137E-09  .859200E-10  .641451E-11
  .355000E+01  .532279E-09  .948939E-10  .709171E-11
  .360000E+01  .586853E-09  .104666E-09  .783005E-11
  .365000E+01  .646182E-09  .115296E-09  .863415E-11
  .370000E+01  .710610E-09  .126846E-09  .950889E-11
