  .515000E+01 -.361461E-11  .409917E-11 -.551528E-11
  .520000E+01 -.383320E-11  .440220E-11 -.587788E-11
  .525000E+01 -.406202E-11  .472481E-11 -.626019E-11
  .530000E+01 -.430137E-11  .506810E-11 -.666306E-11
  .535000E+01 -.455157E-11  .543323E-11 -.708736E-11
  .540000E+01 -.481293E-11  .582142E-11 -.753398E-11
  .545000E+01 -.508575E-11  .623393E-11 -.800385E-11
  .550000E+01 -.537035E-11  .667210E-11 -.849791E-11
  .555000E+01 -.566705E-11  .713734E-11 -.901714E-11
  .560000E+01 -.597614E-11  .763110E-11 -.956253E-11
  .565000E+01 -.629793E-11  .815492E-11 -.101351E-10
  .570000E+01 -.663272E-11  .871042E-11 -.107359E-10
  .575000E+01 -.698081E-11  .929927E-11 -.113661E-10
  .580000E+01 -.734249E-11  .992324E-11 -.120267E-10
  .585000E+01 -.771804E-11  .105842E-10 -.127189E-10
  .590000E+01 -.810773E-11  .112840E-10 -.134439E-10
  .595000E+01 -.851184E-11  .120248E-10 -.142028E-10
  .600000E+01 -.893062E-11  .128085E-10 -.149969E-10
  .605000E+01 -.936430E-11  .136376E-10 -.158275E-10
  .610000E+01 -.981314E-11  .145141E-10 -.166957E-10
  .615000E+01 -.102773E-10  .154407E-10 -.176031E-10
  .620000E+01 -.107571E-10  .164197E-10 -.185507E-10
  .625000E+01 -.112526E-10  .174538E-10 -.195402E-10
  .630000E+01 -.117640E-10  .185457E-10 -.205728E-10
  .635000E+01 -.122915E-10  .196984E-10 -.216500E-10
  .640000E+01 -.128351E-10  .209147E-10 -.227732E-10
  .645000E+01 -.133950E-10  .221979E-10 -.239439E-10
  .650000E+01 -.139713E-10  .235512E-10 -.251637E-10
  .655000E+01 -.145639E-10  .249779E-10 -.264340E-10
  .660000E+01 -.151729E-10  .264816E-10 -.277565E-10
  .665000E+01 -.157983E-10  .280660E-10 -.291328E-10
  .670000E+01 -.164401E-10  .297348E-10 -.305643E-10
  .675000E+01 -.170980E-10  .314922E-10 -.320529E-10
  .680000E+01 -.177721E-10  .333422E-10 -.336002E-10
  .685000E+01 -.184621E-10  .352891E-10 -.352078E-10
  .690000E+01 -.191679E-10  .373375E-10 -.368774E-10
  .695000E+01 -.198892E-10  .394920E-10 -.386109E-10
  .700000E+01 -.206256E-10  .417575E-10 -.404100E-10
  .705000E+01 -.213770E-10  .441390E-10 -.422764E-10
  .710000E+01 -.221427E-10  .466419E-10 -.442120E-10
  .715000E+01 -.229226E-10  .492714E-10 -.462185E-10
  .720000E+01 -.237159E-10  .520334E-10 -.482978E-10
  .725000E+01 -.245222E-10  .549337E-10 -.504518E-10
  .730000E+01 -.253409E-10  .579783E-10 -.526823E-10
  .735000E+01 -.261713E-10  .611737E-10 -.549911E-10
  .740000E+01 -.270126E-10  .645264E-10 -.573803E-10
  .745000E+01 -.278641E-10  .680432E-10 -.598516E-10
  .750000E+01 -.287250E-10  .717311E-10 -.624070E-10
  .755000E+01 -.295942E-10  .755976E-10 -.650484E-10
  .760000E+01 -.304709E-10  .796502E-10 -.677777E-10
  .765000E+01 -.313538E-10  .838968E-10 -.705968E-10
  .770000E+01 -.322420E-10  .883455E-10 -.735076E-10
  .775000E+01 -.331341E-10  .930048E-10 -.765121E-10
  .780000E+01 -.340290E-10  .978833E-10 -.796122E-10
  .785000E+01 -.349252E-10  .102990E-09 -.828098E-10
  .790000E+01 -.358212E-10  .108335E-09 -.861068E-10
  .795000E+01 -.367157E-10  .113927E-09 -.895051E-10
  .800000E+01 -.376068E-10  .119776E-09 -.930066E-10
  .805000E+01 -.384930E-10  .125893E-09 -.966132E-10
  .810000E+01 -.393725E-10  .132288E-09 -.100327E-09
  .815000E+01 -.402433E-10  .138972E-09 -.104149E-09
  .820000E+01 -.411036E-10  .145958E-09 -.108082E-09
  .825000E+01 -.419512E-10  .153256E-09 -.112127E-09
  .830000E+01 -.427841E-10  .160878E-09 -.116287E-09
  .835000E+01 -.435999E-10  .168838E-09 -.120562E-09
  .840000E+01 -.443964E-10  .177148E-09 -.124956E-09
  .845000E+01 -.451710E-10  .185822E-09 -.129468E-09
  .850000E+01 -.459213E-10  .194873E-09 -.134102E-09
  .855000E+01 -.466445E-10  .204315E-09 -.138859E-09
  .860000E+01 -.473379E-10  .214164E-09 -.143740E-09
  .865000E+01 -.479986E-10  .224434E-09 -.148748E-09
  .870000E+01 -.486236E-10  .235141E-09 -.153883E-09
  .875000E+01 -.492099E-10  .246301E-09 -.159147E-09
  .880000E+01 -.497541E-10  .257930E-09 -.164542E-09
  .885000E+01 -.502529E-10  .270046E-09 -.170069E-09
  .890000E+01 -.507028E-10  .282666E-09 -.175730E-09
  .895000E+01 -.511003E-10  .295808E-09 -.181525E-09
  .900000E+01 -.514414E-10  .309491E-09 -.187457E-09
  .905000E+01 -.517224E-10  .323734E-09 -.193527E-09
  .910000E+01 -.519391E-10  .338556E-09 -.199735E-09
  .915000E+01 -.520874E-10  .353979E-09 -.206084E-09
  .920000E+01 -.521630E-10  .370022E-09 -.212574E-09
  .925000E+01 -.521612E-10  .386708E-09 -.219206E-09
  .930000E+01 -.520775E-10  .404059E-09 -.225982E-09
  .935000E+01 -.519070E-10  .422096E-09 -.232902E-09
  .940000E+01 -.516446E-10  .440844E-09 -.239967E-09
  .945000E+01 -.512852E-10  .460327E-09 -.247179E-09
  .950000E+01 -.508234E-10  .480569E-09 -.254538E-09
