  .000000E+00  .000000E+00  .000000E+00  .000000E+00
  .500000E-01  .489962E-22 -.396769E-22 -.283389E-22
  .100000E+00  .636309E-21 -.515195E-21 -.368110E-21
  .150000E+00  .420469E-20 -.340371E-20 -.243307E-20
  .200000E+00  .190443E-19 -.154129E-19 -.110236E-19
  .250000E+00  .670546E-19 -.542538E-19 -.388281E-19
  .300000E+00  .196889E-18 -.159254E-18 -.114058E-18
  .350000E+00  .503972E-18 -.407498E-18 -.292098E-18
  .400000E+00  .115886E-17 -.936669E-18 -.672045E-18
  .450000E+00  .244540E-17 -.197571E-17 -.141902E-17
  .500000E+00  .481004E-17 -.388440E-17 -.279312E-17
  .550000E+00  .892382E-17 -.720295E-17 -.518585E-17
  .600000E+00  .157583E-16 -.127125E-16 -.916495E-17
  .650000E+00  .266767E-16 -.215078E-16 -.155284E-16
  .700000E+00  .435419E-16 -.350825E-16 -.253688E-16
  .750000E+00  .688421E-16 -.554284E-16 -.401478E-16
  .800000E+00  .105836E-15 -.851492E-16 -.617839E-16
  .850000E+00  .158718E-15 -.127590E-15 -.927512E-16
  .900000E+00  .232804E-15 -.186981E-15 -.136193E-15
  .950000E+00  .334745E-15 -.268603E-15 -.196047E-15
  .100000E+01  .472755E-15 -.378962E-15 -.277193E-15
  .105000E+01  .656874E-15 -.525991E-15 -.385606E-15
  .110000E+01  .899247E-15 -.719263E-15 -.528537E-15
  .115000E+01  .121444E-14 -.970229E-15 -.714709E-15
  .120000E+01  .161977E-14 -.129248E-14 -.954527E-15
  .125000E+01  .213568E-14 -.170200E-14 -.126032E-14
  .130000E+01  .278612E-14 -.221750E-14 -.164660E-14
  .135000E+01  .359900E-14 -.286070E-14 -.213031E-14
  .140000E+01  .460660E-14 -.365668E-14 -.273119E-14
  .145000E+01  .584611E-14 -.463425E-14 -.347203E-14
  .150000E+01  .736013E-14 -.582630E-14 -.437905E-14
  .155000E+01  .919718E-14 -.727023E-14 -.548231E-14
  .160000E+01  .114124E-13 -.900835E-14 -.681602E-14
  .165000E+01  .140679E-13 -.110883E-13 -.841907E-14
  .170000E+01  .172340E-13 -.135636E-13 -.103354E-13
  .175000E+01  .209891E-13 -.164939E-13 -.126145E-13
  .180000E+01  .254212E-13 -.199457E-13 -.153119E-13
  .185000E+01  .306279E-13 -.239929E-13 -.184898E-13
  .190000E+01  .367181E-13 -.287170E-13 -.222176E-13
  .195000E+01  .438120E-13 -.342080E-13 -.265723E-13
  .200000E+01  .520422E-13 -.405647E-13 -.316397E-13
  .205000E+01  .615552E-13 -.478955E-13 -.375143E-13
  .210000E+01  .725112E-13 -.563190E-13 -.443006E-13
  .215000E+01  .850861E-13 -.659644E-13 -.521139E-13
