  .000000E+00  .000000E+00  .000000E+00  .000000E+00
  .500000E-01  .211361E-21  .103424E-20  .814672E-23
  .100000E+00  .274580E-20  .134353E-19  .105825E-21
  .150000E+00  .181512E-19  .888086E-19  .699483E-21
  .200000E+00  .822505E-19  .402398E-18  .316922E-20
  .250000E+00  .289761E-18  .141748E-17  .111630E-19
  .300000E+00  .851352E-18  .416428E-17  .327919E-19
  .350000E+00  .218077E-17  .106656E-16  .839788E-19
  .400000E+00  .501869E-17  .245418E-16  .193214E-18
  .450000E+00  .105999E-16  .518263E-16  .407965E-18
  .500000E+00  .208706E-16  .102025E-15  .802996E-18
  .550000E+00  .387622E-16  .189452E-15  .149084E-17
  .600000E+00  .685291E-16  .334872E-15  .263468E-17
  .650000E+00  .116157E-15  .567482E-15  .446386E-17
  .700000E+00  .189846E-15  .927274E-15  .729233E-17
  .750000E+00  .300584E-15  .146779E-14  .115402E-16
  .800000E+00  .462805E-15  .225934E-14  .177588E-16
  .850000E+00  .695148E-15  .339266E-14  .266590E-16
  .900000E+00  .102133E-14  .498311E-14  .391442E-16
  .950000E+00  .147111E-14  .717541E-14  .563464E-16
  .100000E+01  .208141E-14  .101489E-13  .796678E-16
  .105000E+01  .289754E-14  .141237E-13  .110826E-15
  .110000E+01  .397455E-14  .193667E-13  .151905E-15
  .115000E+01  .537877E-14  .261996E-13  .205410E-15
  .120000E+01  .718945E-14  .350063E-13  .274330E-15
  .125000E+01  .950062E-14  .462419E-13  .362206E-15
  .130000E+01  .124231E-13  .604423E-13  .473198E-15
  .135000E+01  .160865E-13  .782344E-13  .612173E-15
  .140000E+01  .206420E-13  .100348E-12  .784785E-15
  .145000E+01  .262645E-13  .127626E-12  .997568E-15
  .150000E+01  .331557E-13  .161042E-12  .125804E-14
  .155000E+01  .415468E-13  .201709E-12  .157481E-14
  .160000E+01  .517021E-13  .250898E-12  .195768E-14
  .165000E+01  .639220E-13  .310055E-12  .241780E-14
  .170000E+01  .785473E-13  .380817E-12  .296777E-14
  .175000E+01  .959627E-13  .465029E-12  .362179E-14
  .180000E+01  .116601E-12  .564768E-12  .439583E-14
  .185000E+01  .140949E-12  .682362E-12  .530774E-14
  .190000E+01  .169549E-12  .820413E-12  .637747E-14
  .195000E+01  .203009E-12  .981823E-12  .762725E-14
  .200000E+01  .242002E-12  .116981E-11  .908172E-14
  .205000E+01  .287279E-12  .138796E-11  .107682E-13
