  .515000E+01 -.272024E-10  .646089E-11 -.500642E-10
  .520000E+01 -.290411E-10  .695557E-11 -.534516E-10
  .525000E+01 -.309854E-10  .748356E-11 -.570316E-10
  .530000E+01 -.330404E-10  .804659E-11 -.608131E-10
  .535000E+01 -.352113E-10  .864641E-11 -.648054E-10
  .540000E+01 -.375036E-10  .928479E-11 -.690178E-10
  .545000E+01 -.399231E-10  .996355E-11 -.734604E-10
  .550000E+01 -.424755E-10  .106845E-10 -.781431E-10
  .555000E+01 -.451670E-10  .114495E-10 -.830765E-10
  .560000E+01 -.480039E-10  .122605E-10 -.882714E-10
  .565000E+01 -.509929E-10  .131191E-10 -.937390E-10
  .570000E+01 -.541406E-10  .140274E-10 -.994908E-10
  .575000E+01 -.574542E-10  .149871E-10 -.105539E-09
  .580000E+01 -.609410E-10  .160001E-10 -.111895E-09
  .585000E+01 -.646084E-10  .170682E-10 -.118572E-09
  .590000E+01 -.684643E-10  .181931E-10 -.125583E-09
  .595000E+01 -.725167E-10  .193767E-10 -.132942E-09
  .600000E+01 -.767740E-10  .206205E-10 -.140662E-09
  .605000E+01 -.812448E-10  .219264E-10 -.148757E-09
  .610000E+01 -.859380E-10  .232958E-10 -.157242E-09
  .615000E+01 -.908627E-10  .247305E-10 -.166131E-09
  .620000E+01 -.960284E-10  .262319E-10 -.175441E-09
  .625000E+01 -.101445E-09  .278014E-10 -.185187E-09
  .630000E+01 -.107122E-09  .294404E-10 -.195386E-09
  .635000E+01 -.113070E-09  .311503E-10 -.206053E-09
  .640000E+01 -.119300E-09  .329321E-10 -.217207E-09
  .645000E+01 -.125823E-09  .347871E-10 -.228864E-09
  .650000E+01 -.132650E-09  .367163E-10 -.241043E-09
  .655000E+01 -.139791E-09  .387206E-10 -.253762E-09
  .660000E+01 -.147261E-09  .408008E-10 -.267041E-09
  .665000E+01 -.155069E-09  .429578E-10 -.280898E-09
  .670000E+01 -.163229E-09  .451921E-10 -.295354E-09
  .675000E+01 -.171754E-09  .475044E-10 -.310429E-09
  .680000E+01 -.180656E-09  .498950E-10 -.326144E-09
  .685000E+01 -.189949E-09  .523643E-10 -.342521E-09
  .690000E+01 -.199647E-09  .549127E-10 -.359580E-09
  .695000E+01 -.209762E-09  .575403E-10 -.377346E-09
  .700000E+01 -.220310E-09  .602474E-10 -.395840E-09
  .705000E+01 -.231306E-09  .630338E-10 -.415087E-09
  .710000E+01 -.242762E-09  .658998E-10 -.435111E-09
  .715000E+01 -.254696E-09  .688452E-10 -.455935E-09
