  .515000E+01 -.171801E-10  .113504E-10 -.289057E-10
  .520000E+01 -.183034E-10  .120820E-10 -.309197E-10
  .525000E+01 -.194870E-10  .128522E-10 -.330533E-10
  .530000E+01 -.207335E-10  .136627E-10 -.353124E-10
  .535000E+01 -.220453E-10  .145150E-10 -.377030E-10
  .540000E+01 -.234252E-10  .154109E-10 -.402317E-10
  .545000E+01 -.248758E-10  .163520E-10 -.429050E-10
  .550000E+01 -.264000E-10  .173401E-10 -.457300E-10
  .555000E+01 -.280006E-10  .183771E-10 -.487136E-10
  .560000E+01 -.296805E-10  .194647E-10 -.518635E-10
  .565000E+01 -.314427E-10  .206049E-10 -.551874E-10
  .570000E+01 -.332904E-10  .217997E-10 -.586933E-10
  .575000E+01 -.352266E-10  .230509E-10 -.623896E-10
  .580000E+01 -.372545E-10  .243608E-10 -.662850E-10
  .585000E+01 -.393775E-10  .257313E-10 -.703884E-10
  .590000E+01 -.415989E-10  .271647E-10 -.747092E-10
  .595000E+01 -.439222E-10  .286632E-10 -.792570E-10
  .600000E+01 -.463508E-10  .302291E-10 -.840419E-10
  .605000E+01 -.488884E-10  .318646E-10 -.890744E-10
  .610000E+01 -.515385E-10  .335722E-10 -.943651E-10
  .615000E+01 -.543049E-10  .353543E-10 -.999253E-10
  .620000E+01 -.571914E-10  .372135E-10 -.105767E-09
  .625000E+01 -.602018E-10  .391524E-10 -.111901E-09
  .630000E+01 -.633400E-10  .411735E-10 -.118341E-09
  .635000E+01 -.666101E-10  .432798E-10 -.125099E-09
  .640000E+01 -.700160E-10  .454739E-10 -.132188E-09
  .645000E+01 -.735619E-10  .477587E-10 -.139624E-09
  .650000E+01 -.772520E-10  .501373E-10 -.147418E-09
  .655000E+01 -.810904E-10  .526126E-10 -.155587E-09
  .660000E+01 -.850816E-10  .551878E-10 -.164146E-09
  .665000E+01 -.892298E-10  .578661E-10 -.173110E-09
  .670000E+01 -.935394E-10  .606508E-10 -.182496E-09
  .675000E+01 -.980150E-10  .635452E-10 -.192321E-09
  .680000E+01 -.102661E-09  .665529E-10 -.202601E-09
  .685000E+01 -.107482E-09  .696774E-10 -.213355E-09
  .690000E+01 -.112483E-09  .729224E-10 -.224601E-09
  .695000E+01 -.117667E-09  .762916E-10 -.236359E-09
  .700000E+01 -.123041E-09  .797889E-10 -.248648E-09
  .705000E+01 -.128609E-09  .834182E-10 -.261489E-09
  .710000E+01 -.134375E-09  .871836E-10 -.274902E-09
  .715000E+01 -.140345E-09  .910892E-10 -.288910E-09
  .720000E+01 -.146522E-09  .951392E-10 -.303534E-09
  .725000E+01 -.152913E-09  .993380E-10 -.318798E-09
  .730000E+01 -.159522E-09  .103690E-09 -.334725E-09
  .735000E+01 -.166354E-09  .108200E-09 -.351340E-09
  .740000E+01 -.173414E-09  .112872E-09 -.368667E-09
  .745000E+01 -.180707E-09  .117711E-09 -.386734E-09
  .750000E+01 -.188238E-09  .122722E-09 -.405566E-09
  .755000E+01 -.196012E-09  .127910E-09 -.425190E-09
  .760000E+01 -.204034E-09  .133280E-09 -.445637E-09
  .765000E+01 -.212310E-09  .138836E-09 -.466933E-09
  .770000E+01 -.220843E-09  .144585E-09 -.489110E-09
  .775000E+01 -.229640E-09  .150532E-09 -.512198E-09
  .780000E+01 -.238706E-09  .156681E-09 -.536229E-09
  .785000E+01 -.248045E-09  .163039E-09 -.561235E-09
  .790000E+01 -.257662E-09  .169611E-09 -.587250E-09
  .795000E+01 -.267564E-09  .176403E-09 -.614308E-09
  .800000E+01 -.277753E-09  .183421E-09 -.642445E-09
  .805000E+01 -.288237E-09  .190670E-09 -.671697E-09
  .810000E+01 -.299019E-09  .198157E-09 -.702102E-09
  .815000E+01 -.310106E-09  .205887E-09 -.733698E-09
  .820000E+01 -.321500E-09  .213868E-09 -.766524E-09
  .825000E+01 -.333209E-09  .222104E-09 -.800621E-09
  .830000E+01 -.345236E-09  .230602E-09 -.836031E-09
  .835000E+01 -.357587E-09  .239370E-09 -.872796E-09
  .840000E+01 -.370266E-09  .248412E-09 -.910960E-09
  .845000E+01 -.383278E-09  .257737E-09 -.950568E-09
  .850000E+01 -.396629E-09  .267350E-09 -.991667E-09
  .855000E+01 -.410322E-09  .277257E-09 -.103430E-08
  .860000E+01 -.424362E-09  .287467E-09 -.107853E-08
  .865000E+01 -.438754E-09  .297986E-09 -.112439E-08
  .870000E+01 -.453503E-09  .308819E-09 -.117193E-08
  .875000E+01 -.468613E-09  .319975E-09 -.122122E-08
  .880000E+01 -.484088E-09  .331461E-09 -.127230E-08
  .885000E+01 -.499933E-09  .343282E-09 -.132523E-08
  .890000E+01 -.516151E-09  .355447E-09 -.138007E-08
  .895000E+01 -.532748E-09  .367961E-09 -.143687E-08
  .900000E+01 -.549726E-09  .380833E-09 -.149569E-08
  .905000E+01 -.567091E-09  .394068E-09 -.155660E-08
  .910000E+01 -.584844E-09  .407674E-09 -.161965E-08
  .915000E+01 -.602991E-09  .421657E-09 -.168492E-08
  .920000E+01 -.621535E-09  .436026E-09 -.175246E-08
  .925000E+01 -.640479E-09  .450785E-09 -.182234E-08
  .930000E+01 -.659826E-09  .465943E-09 -.189464E-08
  .935000E+01 -.679579E-09  .481505E-09 -.196942E-08
  .940000E+01 -.699741E-09  .497479E-09 -.204676E-08
  .945000E+01 -.720314E-09  .513870E-09 -.212673E-08
  .950000E+01 -.741301E-09  .530686E-09 -.220940E-08
  .955000E+01 -.762705E-09  .547933E-09 -.229486E-08
  .960000E+01 -.784526E-09  .565617E-09 -.238318E-08
  .965000E+01 -.806768E-09  .583744E-09 -.247444E-08
  .970000E+01 -.829431E-09  .602321E-09 -.256873E-08
  .975000E+01 -.852517E-09  .621352E-09 -.266613E-08
  .980000E+01 -.876027E-09  .640845E-09 -.276673E-08
  .985000E+01 -.899961E-09  .660804E-09 -.287063E-08
  .990000E+01 -.924321E-09  .681236E-09 -.297790E-08
  .995000E+01 -.949105E-09  .702145E-09 -.308864E-08
  .100000E+02 -.974316E-09  .723537E-09 -.320296E-08
  .100500E+02 -.999950E-09  .745416E-09 -.332094E-08
  .101000E+02 -.102601E-08  .767788E-09 -.344268E-08
  .101500E+02 -.105249E-08  .790658E-09 -.356830E-08
  .102000E+02 -.107940E-08  .814028E-09 -.369789E-08
  .102500E+02 -.110672E-08  .837905E-09 -.383156E-08
  .103000E+02 -.113446E-08  .862292E-09 -.396942E-08
  .103500E+02 -.116262E-08  .887193E-09 -.411157E-08
  .104000E+02 -.119118E-08  .912612E-09 -.425815E-08
  .104500E+02 -.122016E-08  .938552E-09 -.440925E-08
  .105000E+02 -.124954E-08  .965015E-09 -.456500E-08
  .105500E+02 -.127933E-08  .992006E-09 -.472552E-08
  .106000E+02 -.130950E-08  .101953E-08 -.489094E-08
  .106500E+02 -.134007E-08  .104758E-08 -.506138E-08
  .107000E+02 -.137102E-08  .107617E-08 -.523697E-08
  .107500E+02 -.140235E-08  .110530E-08 -.541785E-08
  .108000E+02 -.143405E-08  .113496E-08 -.560414E-08
  .108500E+02 -.146612E-08  .116516E-08 -.579599E-08
  .109000E+02 -.149854E-08  .119591E-08 -.599353E-08
  .109500E+02 -.153130E-08  .122720E-08 -.619692E-08
  .110000E+02 -.156440E-08  .125903E-08 -.640628E-08
  .110500E+02 -.159783E-08  .129140E-08 -.662179E-08
  .111000E+02 -.163157E-08  .132432E-08 -.684358E-08
  .111500E+02 -.166562E-08  .135779E-08 -.707182E-08
  .112000E+02 -.169996E-08  .139180E-08 -.730665E-08
  .112500E+02 -.173457E-08  .142635E-08 -.754825E-08
  .113000E+02 -.176945E-08  .146144E-08 -.779677E-08
  .113500E+02 -.180457E-08  .149708E-08 -.805239E-08
  .114000E+02 -.183993E-08  .153325E-08 -.831527E-08
  .114500E+02 -.187551E-08  .156997E-08 -.858559E-08
  .115000E+02 -.191128E-08  .160722E-08 -.886352E-08
  .115500E+02 -.194723E-08  .164501E-08 -.914925E-08
  .116000E+02 -.198335E-08  .168332E-08 -.944296E-08
  .116500E+02 -.201960E-08  .172217E-08 -.974483E-08
  .117000E+02 -.205598E-08  .176154E-08 -.100551E-07
  .117500E+02 -.209245E-08  .180144E-08 -.103738E-07
  .118000E+02 -.212899E-08  .184185E-08 -.107014E-07
  .118500E+02 -.216559E-08  .188278E-08 -.110379E-07
  .119000E+02 -.220221E-08  .192422E-08 -.113835E-07
  .119500E+02 -.223883E-08  .196617E-08 -.117385E-07
  .120000E+02 -.227542E-08  .200861E-08 -.121030E-07
  .120500E+02 -.231195E-08  .205155E-08 -.124774E-07
  .121000E+02 -.234840E-08  .209498E-08 -.128617E-07
  .121500E+02 -.238473E-08  .213889E-08 -.132563E-07
  .122000E+02 -.242091E-08  .218328E-08 -.136613E-07
  .122500E+02 -.245692E-08  .222813E-08 -.140769E-07
  .123000E+02 -.249270E-08  .227345E-08 -.145035E-07
  .123500E+02 -.252824E-08  .231922E-08 -.149413E-07
  .124000E+02 -.256349E-08  .236544E-08 -.153904E-07
  .124500E+02 -.259841E-08  .241210E-08 -.158511E-07
  .125000E+02 -.263297E-08  .245919E-08 -.163237E-07
  .125500E+02 -.266713E-08  .250670E-08 -.168084E-07
  .126000E+02 -.270085E-08  .255461E-08 -.173055E-07
  .126500E+02 -.273407E-08  .260293E-08 -.178152E-07
  .127000E+02 -.276676E-08  .265165E-08 -.183379E-07
  .127500E+02 -.279888E-08  .270074E-08 -.188736E-07
  .128000E+02 -.283037E-08  .275020E-08 -.194228E-07
  .128500E+02 -.286119E-08  .280002E-08 -.199857E-07
  .129000E+02 -.289128E-08  .285018E-08 -.205626E-07
  .129500E+02 -.292061E-08  .290068E-08 -.211537E-07
  .130000E+02 -.294910E-08  .295150E-08 -.217593E-07
  .130500E+02 -.297671E-08  .300262E-08 -.223798E-07
  .131000E+02 -.300338E-08  .305405E-08 -.230154E-07
  .131500E+02 -.302906E-08  .310575E-08 -.236664E-07
  .132000E+02 -.305368E-08  .315771E-08 -.243330E-07
  .132500E+02 -.307719E-08  .320993E-08 -.250157E-07
  .133000E+02 -.309951E-08  .326239E-08 -.257147E-07
  .133500E+02 -.312059E-08  .331506E-08 -.264303E-07
  .134000E+02 -.314036E-08  .336794E-08 -.271629E-07
  .134500E+02 -.315874E-08  .342100E-08 -.279127E-07
  .135000E+02 -.317568E-08  .347423E-08 -.286801E-07
  .135500E+02 -.319109E-08  .352762E-08 -.294653E-07
  .136000E+02 -.320490E-08  .358113E-08 -.302688E-07
  .136500E+02 -.321703E-08  .363476E-08 -.310909E-07
  .137000E+02 -.322742E-08  .368848E-08 -.319319E-07
  .137500E+02 -.323596E-08  .374227E-08 -.327920E-07
  .138000E+02 -.324259E-08  .379611E-08 -.336718E-07
  .138500E+02 -.324721E-08  .384999E-08 -.345715E-07
  .139000E+02 -.324974E-08  .390387E-08 -.354915E-07
  .139500E+02 -.325009E-08  .395774E-08 -.364321E-07
  .140000E+02 -.324817E-08  .401157E-08 -.373937E-07
  .140500E+02 -.324388E-08  .406533E-08 -.383767E-07
  .141000E+02 -.323712E-08  .411902E-08 -.393814E-07
  .141500E+02 -.322780E-08  .417259E-08 -.404082E-07
  .142000E+02 -.321582E-08  .422602E-08 -.414575E-07
  .142500E+02 -.320108E-08  .427930E-08 -.425297E-07
  .143000E+02 -.318346E-08  .433238E-08 -.436250E-07
  .143500E+02 -.316286E-08  .438524E-08 -.447441E-07
  .144000E+02 -.313917E-08  .443786E-08 -.458871E-07
  .144500E+02 -.311227E-08  .449021E-08 -.470545E-07
  .145000E+02 -.308206E-08  .454225E-08 -.482468E-07
  .145500E+02 -.304842E-08  .459396E-08 -.494642E-07
  .146000E+02 -.301122E-08  .464531E-08 -.507073E-07
  .146500E+02 -.297035E-08  .469627E-08 -.519765E-07
  .147000E+02 -.292567E-08  .474680E-08 -.532720E-07
  .147500E+02 -.287707E-08  .479687E-08 -.545944E-07
  .148000E+02 -.282442E-08  .484645E-08 -.559441E-07
  .148500E+02 -.276758E-08  .489551E-08 -.573216E-07
  .149000E+02 -.270642E-08  .494401E-08 -.587271E-07
  .149500E+02 -.264082E-08  .499192E-08 -.601613E-07
  .150000E+02 -.257062E-08  .503920E-08 -.616244E-07
  .150500E+02 -.249569E-08  .508583E-08 -.631170E-07
  .151000E+02 -.241589E-08  .513175E-08 -.646395E-07
  .151500E+02 -.233108E-08  .517694E-08 -.661923E-07
  .152000E+02 -.224111E-08  .522137E-08 -.677760E-07
  .152500E+02 -.214582E-08  .526498E-08 -.693909E-07
  .153000E+02 -.204508E-08  .530775E-08 -.710375E-07
  .153500E+02 -.193873E-08  .534963E-08 -.727163E-07
  .154000E+02 -.182662E-08  .539059E-08 -.744277E-07
  .154500E+02 -.170858E-08  .543059E-08 -.761723E-07
  .155000E+02 -.158447E-08  .546959E-08 -.779505E-07
  .155500E+02 -.145412E-08  .550755E-08 -.797628E-07
  .156000E+02 -.131737E-08  .554442E-08 -.816097E-07
  .156500E+02 -.117405E-08  .558017E-08 -.834916E-07
  .157000E+02 -.102401E-08  .561476E-08 -.854091E-07
  .157500E+02 -.867074E-09  .564814E-08 -.873627E-07
  .158000E+02 -.703072E-09  .568028E-08 -.893528E-07
  .158500E+02 -.531835E-09  .571113E-08 -.913800E-07
  .159000E+02 -.353192E-09  .574064E-08 -.934448E-07
  .159500E+02 -.166967E-09  .576878E-08 -.955476E-07
  .160000E+02  .270141E-10  .579549E-08 -.976892E-07
  .160500E+02  .228929E-09  .582075E-08 -.998698E-07
  .161000E+02  .438955E-09  .584450E-08 -.102090E-06
  .161500E+02  .657274E-09  .586669E-08 -.104351E-06
  .162000E+02  .884066E-09  .588728E-08 -.106652E-06
  .162500E+02  .111951E-08  .590623E-08 -.108995E-06
  .163000E+02  .136381E-08  .592349E-08 -.111379E-06
  .163500E+02  .161712E-08  .593901E-08 -.113806E-06
  .164000E+02  .187965E-08  .595275E-08 -.116276E-06
  .164500E+02  .215159E-08  .596465E-08 -.118789E-06
  .165000E+02  .243312E-08  .597466E-08 -.121346E-06
  .165500E+02  .272443E-08  .598274E-08 -.123949E-06
  .166000E+02  .302572E-08  .598884E-08 -.126596E-06
  .166500E+02  .333718E-08  .599290E-08 -.129289E-06
  .167000E+02  .365900E-08  .599487E-08 -.132028E-06
  .167500E+02  .399139E-08  .599470E-08 -.134815E-06
  .168000E+02  .433454E-08  .599234E-08 -.137649E-06
  .168500E+02  .468864E-08  .598773E-08 -.140531E-06
  .169000E+02  .505390E-08  .598081E-08 -.143462E-06
  .169500E+02  .543052E-08  .597154E-08 -.146442E-06
  .170000E+02  .581871E-08  .595984E-08 -.149473E-06
