 All trial positions and shifts for subevent#          1
 (isour = source position,ishift*dt=time shift)
 isour,ishift,corr,moment,DC%,str,dip,rak,str,dip,rak
    84    220     .611811        .1196E+21    81.437     50     67     50    295     44    147
    85    255     .593552        .1146E+21    81.164     53     61     48    294     48    140
    86    295     .562308        .1062E+21    78.744     57     54     48    294     52    132
    87    335     .520224        .9479E+20    74.396     61     47     48    293     56    125
    88    375     .470367        .8158E+20    67.570     64     40     49    292     60    118
    89    425     .420447        .6769E+20    54.174     68     32     53    289     64    110
    90    440     .372254        .5723E+20    49.057     63     26     47    288     70    108
 
 Selected source position for subevent #          1
 isour,ishift         52         170
 
 SINGULAR values, incl. vardat (min., max, max/min)
    1.783102E-13    3.509128E-13        1.967990
 
 Inversion result:
 coefficients of elem.seismograms a(1),a(2),...a(6):
  .238361E+20  .545402E+20  .558320E+20  .602305E+20 -.363396E+20  .000000E+00
 and their sigma_a(1), sigma_a(2),... sigma_a(6):
  .399688E+13  .477418E+13  .385348E+13  .518446E+13  .418475E+13  .000000E+00
 
 moment (Nm):   9.705426E+19
   moment magnitude:   7.3
             VOL % :    .0
              DC % :  72.4
            CLVD % : -27.6
 strike,dip,rake:         43          80          59
 strike,dip,rake:        298          31         162
 P-axis azimuth and plunge:        157          29
 T-axis azimuth and plunge:        282          45
 B-axis azimuth and plunge:         48          30
 
 After subtraction of subevent #          1
 weighted variance reduction (used components only):
 varred=   4.280846E-01
 =======================================
 
 All trial positions and shifts for subevent#          2
 (isour = source position,ishift*dt=time shift)
 isour,ishift,corr,moment,DC%,str,dip,rak,str,dip,rak
     1    350     .308362        .4481E+20    94.214    242     85    -91     77      2    -75
     2    355     .305321        .4235E+20    94.132    256     84    -84     29      2   -136
     3    335     .335642        .3535E+20    40.571    296     84    -81     58      9   -147
     4    355     .360877        .3791E+20    35.754    312     85    -87    102      2   -118
     5    385     .360307        .3594E+20    37.846    305     84    -84     80      8   -134
     6    415     .340773        .3205E+20    46.467    294     82    -81     65     11   -138
     7    440     .306756        .2534E+20    59.198    273     80    -81     53     12   -128
     8    440     .259960        .1847E+20    67.289     32     12   -115    238     78    -84
     9    440     .193887        .1127E+20    82.053      5     14   -116    213     77    -83
    10    260     .164710        .7502E+19    22.249    199     10   -158     87     86    -80
    11    440     .334706        .1627E+20    65.664    160     60     63     25     38    128
    12    285     .331268        .2071E+20    55.019     33     39   -106    234     52    -76
    13    325     .358152        .2146E+20    57.263     29     42   -114    241     52    -69
    14    365     .365951        .2124E+20    54.135    247     54    -65     29     42   -120
    15    405     .347525        .1968E+20    48.087    252     57    -65     32     40   -123
    16    440     .307537        .1698E+20    40.957    256     61    -67     36     35   -124
    17    440     .236047        .1216E+20    42.889     32     32   -123    250     63    -70
    18    275     .186073        .8970E+19    52.822     65      2     18    317     88     95
    19    285     .150995        .6458E+19    40.206    120     87    -71    218     18   -171
    20    240     .144844        .4518E+19    28.120    229     48   -137    107     59    -50
    21    440     .328050        .1524E+20    83.120    159     58     63     23     40    125
    22    440     .279784        .1178E+20    36.830    145     57     42     29     55    139
    23     40     .296021        .1505E+20    97.525     17     54     27    269     67    140
    24    385     .286289        .1415E+20    83.906    255     63    -56     19     41   -137
    25    420     .271754        .1265E+20    72.261    259     67    -55     18     40   -143
    26    440     .236409        .1017E+20    62.123    264     73    -55     16     37   -153
    27    230     .219321        .8197E+19    57.232     47     18     -2    139     89   -108
    28    275     .196710        .7077E+19    34.873     57     23     -5    152     87   -113
    29    260     .159122        .6447E+19    55.878    223     41   -134     95     61    -58
    30    230     .147302        .6518E+19    47.787     90     45    -76    251     45   -103
    31    440     .313272        .2432E+20    93.236    163     59     70     18     35    119
    32    440     .272607        .2052E+20    26.359    140     64     50     22     45    143
    33     40     .292319        .2343E+20    76.010     19     44     24    271     72    131
    34     50     .286732        .2202E+20    68.045    278     81    128     19     39     13
    35    415     .271866        .2253E+20    69.239    262     71    -62     24     32   -143
    36    170     .238248        .1689E+20    82.206    126     86   -104     22     15    -14
    37    235     .228788        .1470E+20    55.942     42     16    -10    142     87   -106
    38    285     .208073        .1265E+20    56.196     56     21     -6    153     87   -110
    39    325     .165026        .9902E+19    59.811     60     18     -4    154     88   -108
    40    205     .140141        .1034E+20    66.779     81     37    -87    257     52    -91
    41    440     .294657        .2358E+20    68.849    166     64     71     23     31    123
    42    440     .267635        .2159E+20    53.936    141     69     53     26     41    148
    43     40     .291657        .2712E+20    81.216     19     39     20    272     76    127
    44     40     .294378        .2595E+20    78.244    280     88    125     13     35      2
    45     85     .265888        .2291E+20    96.994    111     82   -114      4     25    -18
    46    155     .240520        .1902E+20    67.909      3     17    -34    127     80   -104
    47    240     .229386        .1500E+20    72.005     51     22     -8    150     86   -112
    48    305     .211286        .1365E+20    86.103     74     28     15    330     82    117
    49    385     .179917        .1475E+20    65.278     73     37     44    305     64    118
    50    440     .177879        .1652E+20    91.987     58     35     47    286     64    115
    51    415     .285836        .2317E+20    49.523     39     39    151    152     72     54
    52    435     .269145        .2170E+20    93.300    142     73     53     31     39    153
    53     40     .285024        .2822E+20    80.764     18     39     19    273     77    128
    54     40     .291881        .2728E+20    77.054    101     89   -125     10     35     -1
    55     70     .264584        .2399E+20    94.976    356     27    -27    111     77   -114
    56    440     .237197        .2268E+20    85.500    109     71     70    337     27    134
    57    280     .223905        .1581E+20    63.299     78     38     27    326     73    125
    58    345     .215305        .1835E+20    59.319     78     44     47    310     59    123
    59    425     .201849        .2151E+20    74.680     71     41     62    286     53    112
    60    440     .204099        .2134E+20    92.695     55     36     48    282     63    115
    61    400     .286531        .2516E+20    40.821     45     42    161    149     77     49
    62    420     .275510        .2353E+20    79.189     33     38    157    141     76     53
    63     40     .276958        .2885E+20    72.361    272     77    130     16     41     18
    64     40     .284878        .2800E+20    67.035    101     88   -126      8     36     -2
    65    430     .272212        .2626E+20    94.173    116     71     66    349     29    139
    66    440     .254246        .2559E+20    77.785    115     64     72    331     30    122
    67    395     .232066        .2571E+20    62.032    310     41    114     98     53     69
    68    380     .223308        .2440E+20    60.379    298     49    116     80     46     62
    69    440     .216072        .2597E+20    75.781     70     41     65    281     52    110
    70    440     .218229        .2534E+20    93.922     52     38     47    281     62    117
    71    385     .289328        .2768E+20    35.185     48     42    164    149     79     48
    72    410     .281705        .2583E+20    57.377     35     35    157    143     77     56
    73    415     .282836        .2636E+20    79.993    133     74     61     17     32    149
    74    420     .287345        .2794E+20    89.047    125     70     65      0     31    140
    75    430     .283905        .2867E+20    98.360    122     66     68    346     31    129
    76    440     .267684        .2848E+20    76.159    119     60     74    329     33    115
    77    430     .244406        .2886E+20    56.179    308     39    107    106     52     76
    78    400     .229560        .2864E+20    58.073    293     47    112     82     46     67
    79    440     .223011        .2920E+20    74.508     68     41     64    281     52    111
    80    440     .224446        .2879E+20    94.417     50     39     46    281     62    119
    81    380     .291862        .3030E+20    27.152     52     40    167    152     81     50
    82    400     .285105        .2816E+20    43.740     35     32    154    147     76     59
    83    410     .287316        .2837E+20    61.894    138     72     65     15     30    143
