   No        D0           lonR           latR             dR         L         W    strike       dip      rake         x         y flag
    1     0.200     179.870377     -37.254292     102.000000      5.00     10.00   235.505    49.227    10.250    -25.00    -30.00    0
    2     0.365     179.851135     -37.296638     102.000000      5.00     10.00   230.369    48.369     6.422    -20.00    -30.00    0
    3     0.501     179.831894     -37.338982     102.000000      5.00     10.00   229.160    50.859     3.580    -15.00    -30.00    0
    4     0.577     179.812607     -37.381321     102.000000      5.00     10.00   229.177    56.015     2.897    -10.00    -30.00    0
    5     0.621     179.793320     -37.423660     102.000000      5.00     10.00   228.805    62.695    -0.696     -5.00    -30.00    0
    6     0.636     179.774002     -37.466000     102.000000      5.00     10.00   229.695    70.002    -2.953      0.00    -30.00    0
    7     0.633     179.754654     -37.508331     102.000000      5.00     10.00   231.281    74.505    -1.981      5.00    -30.00    0
    8     0.602     179.735306     -37.550659     102.000000      5.00     10.00   233.530    75.243     4.538     10.00    -30.00    0
    9     0.587     179.715912     -37.592991     102.000000      5.00     10.00   234.155    82.188     6.397     15.00    -30.00    0
   10     0.591     179.696503     -37.635311     102.000000      5.00     10.00   234.801    89.773     5.607     20.00    -30.00    0
   11     0.518     179.677078     -37.677631     102.000000      5.00     10.00   146.513    86.092  -179.753     25.00    -30.00    1
   12     0.375     179.657623     -37.719940     102.000000      5.00     10.00   145.339    83.546  -179.879     30.00    -30.00    1
   13     0.235     179.638153     -37.762249     102.000000      5.00     10.00   140.910    85.525  -176.874     35.00    -30.00    1
   14     0.126     179.618668     -37.804562     102.000000      5.00     10.00   316.803    85.300   170.551     40.00    -30.00    1
   15     0.317     179.870377     -37.254292      92.000000      5.00     10.00   226.820    47.797    10.654    -25.00    -20.00    0
   16     0.590     179.851135     -37.296638      92.000000      5.00     10.00   223.155    48.213     3.607    -20.00    -20.00    0
   17     0.817     179.831894     -37.338982      92.000000      5.00     10.00   223.142    51.212    -2.983    -15.00    -20.00    0
   18     1.053     179.812607     -37.381321      92.000000      5.00     10.00   224.501    61.476    -7.597    -10.00    -20.00    0
