   No        D0           lonR           latR             dR         L         W    strike       dip      rake         x         y flag
   59     0.432     179.831894     -37.338982      62.000000      5.00     10.00   231.215    78.979    17.522    -15.00     10.00    0
   60     0.576     179.812607     -37.381321      62.000000      5.00     10.00   229.056    88.125     8.966    -10.00     10.00    0
   61     0.758     179.793320     -37.423660      62.000000      5.00     10.00   231.562    86.184    15.592     -5.00     10.00    0
   62     0.863     179.774002     -37.466000      62.000000      5.00     10.00   232.566    85.620    14.545      0.00     10.00    0
   63     0.869     179.754654     -37.508331      62.000000      5.00     10.00   232.549    89.983     8.089      5.00     10.00    0
   64     0.830     179.735306     -37.550659      62.000000      5.00     10.00   322.134    85.745   164.725     10.00     10.00    1
   65     0.816     179.715912     -37.592991      62.000000      5.00     10.00   320.547    77.812   150.357     15.00     10.00    1
   66     0.722     179.696503     -37.635311      62.000000      5.00     10.00   323.050    77.603   148.525     20.00     10.00    1
   67     0.578     179.677078     -37.677631      62.000000      5.00     10.00   327.606    82.910   149.885     25.00     10.00    1
   68     0.455     179.657623     -37.719940      62.000000      5.00     10.00   335.707    88.907   151.207     30.00     10.00    0
   69     0.331     179.638153     -37.762249      62.000000      5.00     10.00   162.755    87.149  -150.151     35.00     10.00    0
   70     0.194     179.618668     -37.804562      62.000000      5.00     10.00   339.592    71.498   168.667     40.00     10.00    0
   71     0.191     179.870377     -37.254292      52.000000      5.00     10.00   154.470    63.071   154.213    -25.00     20.00    1
   72     0.246     179.851135     -37.296638      52.000000      5.00     10.00   157.092    83.053   174.446    -20.00     20.00    0
   73     0.340     179.831894     -37.338982      52.000000      5.00     10.00   244.109    88.744    19.132    -15.00     20.00    0
   74     0.462     179.812607     -37.381321      52.000000      5.00     10.00   151.738    62.939  -178.307    -10.00     20.00    1
   75     0.573     179.793320     -37.423660      52.000000      5.00     10.00   150.387    65.751  -172.907     -5.00     20.00    1
   76     0.652     179.774002     -37.466000      52.000000      5.00     10.00   149.136    69.774  -170.541      0.00     20.00    1
   77     0.665     179.754654     -37.508331      52.000000      5.00     10.00   149.687    66.879  -174.421      5.00     20.00    1
   78     0.628     179.735306     -37.550659      52.000000      5.00     10.00    99.201    23.872    85.686     10.00     20.00    1
   79     0.577     179.715912     -37.592991      52.000000      5.00     10.00   131.807    23.183   128.369     15.00     20.00    1
   80     0.477     179.696503     -37.635311      52.000000      5.00     10.00   150.152    23.601   152.573     20.00     20.00    1
   81     0.334     179.677078     -37.677631      52.000000      5.00     10.00   163.954    29.943   167.710     25.00     20.00    0
   82     0.241     179.657623     -37.719940      52.000000      5.00     10.00   171.430    57.665  -166.277     30.00     20.00    0
   83     0.198     179.638153     -37.762249      52.000000      5.00     10.00   177.274    57.454  -167.298     35.00     20.00    0
   84     0.134     179.618668     -37.804562      52.000000      5.00     10.00   183.185    44.351  -169.967     40.00     20.00    0
   85     0.120     179.870377     -37.254292      42.000000      5.00     10.00    97.209    89.447  -123.480    -25.00     30.00    1
   86     0.266     179.851135     -37.296638      42.000000      5.00     10.00    15.941    29.704     8.540    -20.00     30.00    1
   87     0.410     179.831894     -37.338982      42.000000      5.00     10.00   356.002    31.640   -12.666    -15.00     30.00    0
   88     0.600     179.812607     -37.381321      42.000000      5.00     10.00   345.767    32.092   -20.526    -10.00     30.00    0
   89     0.766     179.793320     -37.423660      42.000000      5.00     10.00   346.027    29.451   -13.722     -5.00     30.00    0
   90     0.878     179.774002     -37.466000      42.000000      5.00     10.00   -14.185    26.491    -9.913      0.00     30.00    1
   91     0.900     179.754654     -37.508331      42.000000      5.00     10.00   -13.079    26.697    -8.148      5.00     30.00    1
   92     0.835     179.735306     -37.550659      42.000000      5.00     10.00   349.103    31.792    -9.906     10.00     30.00    0
   93     0.795     179.715912     -37.592991      42.000000      5.00     10.00   348.105    32.968   -11.265     15.00     30.00    0
   94     0.786     179.696503     -37.635311      42.000000      5.00     10.00   343.797    32.445   -14.000     20.00     30.00    0
   95     0.694     179.677078     -37.677631      42.000000      5.00     10.00   340.788    31.425   -15.486     25.00     30.00    0
   96     0.527     179.657623     -37.719940      42.000000      5.00     10.00    84.818    77.764  -119.256     30.00     30.00    1
   97     0.383     179.638153     -37.762249      42.000000      5.00     10.00    81.598    73.363  -119.240     35.00     30.00    1
   98     0.212     179.618668     -37.804562      42.000000      5.00     10.00    75.496    72.082  -122.015     40.00     30.00    1
   99     0.133     179.870377     -37.254292      32.000000      5.00     10.00    37.051    53.879    34.348    -25.00     40.00    1
  100     0.245     179.851135     -37.296638      32.000000      5.00     10.00   280.212    67.185   139.466    -20.00     40.00    1
  101     0.347     179.831894     -37.338982      32.000000      5.00     10.00   276.704    87.169   139.599    -15.00     40.00    1
  102     0.533     179.812607     -37.381321      32.000000      5.00     10.00   354.896    47.293   -11.583    -10.00     40.00    0
  103     0.758     179.793320     -37.423660      32.000000      5.00     10.00   346.812    42.984   -15.661     -5.00     40.00    0
  104     0.926     179.774002     -37.466000      32.000000      5.00     10.00   343.242    40.523   -16.199      0.00     40.00    0
  105     1.026     179.754654     -37.508331      32.000000      5.00     10.00   340.942    38.480   -15.237      5.00     40.00    0
  106     1.022     179.735306     -37.550659      32.000000      5.00     10.00   339.489    38.936   -15.680     10.00     40.00    0
